Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.54804146,10000000,83,412.60187,76.5,88.5
A02,SYBR,,Std,,15.176438,10000000,83,451.397328,75.5,87.5
A03,SYBR,,Std,,15.1891806,10000000,83,458.1812961,76,90
A04,SYBR,,Std,,26.83373143,10000,82.5,394.1049847,75.5,89
A05,SYBR,,Std,,25.52502436,10000,83,427.2871095,76,87.5
A06,SYBR,,Std,,24.84357409,10000,83,415.1292733,75,88.5
A07,SYBR,,Std,,27.58183378,1000,83,405.7601998,75.5,87.5
A08,SYBR,,Std,,27.58397847,1000,83,417.1442948,76,87.5
A09,SYBR,,Std,,27.48470557,1000,83,407.122851,76,88
A10,SYBR,,NTC,,29.12276954,NaN,82.5,388.0220132,75.5,87.5
A11,SYBR,,NTC,,29.14527477,NaN,82.5,396.7594197,75,87.5
A12,SYBR,,NTC,,28.94563334,NaN,82.5,420.3712911,67.5,89
B01,SYBR,,Unkn-01,,27.62530948,1439.637009,82.5,347.3273574,76,87.5
B02,SYBR,,Unkn-01,,27.07239426,2154.672798,82.5,377.9165307,76,90
B03,SYBR,,Unkn-01,,27.16341999,2016.276912,82.5,390.4722712,75.5,91.5
B04,SYBR,,Unkn-02,,25.12069984,8944.453763,82.5,404.365464,75.5,88
B05,SYBR,,Unkn-02,,25.01831206,9637.929575,83,412.4789611,76.5,88.5
B06,SYBR,,Unkn-02,,25.06082913,9343.660504,83,410.3584438,75.5,88.5
B07,SYBR,,Unkn-03,,27.12211278,2077.943183,82.5,386.8452585,76,88.5
B08,SYBR,,Unkn-03,,27.1125277,2092.519969,82.5,428.8555951,75.5,87.5
B09,SYBR,,Unkn-03,,27.06703845,2163.105537,82.5,414.2538851,75.5,89
B10,SYBR,,Unkn-04,,16.65459003,4296137.979,82.5,422.9402707,67.5,87.5
B11,SYBR,,Unkn-04,,16.6781006,4223101.981,82.5,442.6239603,76,88.5
B12,SYBR,,Unkn-04,,16.59592169,4483948.477,82.5,445.7708877,76.5,88.5
C01,SYBR,,Unkn-05,,16.62213571,4399037.679,82.5,426.4336996,76,91
C02,SYBR,,Unkn-05,,16.54860898,4641370.833,82.5,434.2380325,75.5,89
C03,SYBR,,Unkn-05,,16.23809969,5820976.369,83,444.2742461,76,92
C04,SYBR,,Unkn-06,,21.1601749,160692.603,82.5,439.8002164,75.5,88
C05,SYBR,,Unkn-06,,19.83075744,423711.9061,83,452.3497128,75.5,87.5
C06,SYBR,,Unkn-06,,19.48475117,545335.0581,83,440.64393,75,89.5
C07,SYBR,,Unkn-07,,16.51409879,4759670.599,83,438.7632085,74,87.5
C08,SYBR,,Unkn-07,,16.58396333,4523225.712,83,434.6363419,67.5,90
C09,SYBR,,Unkn-07,,16.32968191,5444881.327,83,463.4264474,75.5,90
C10,SYBR,,Unkn-08,,29.30563925,422.699318,82.5,389.3741819,75,89.5
C11,SYBR,,Unkn-08,,29.22941563,446.8629383,82.5,379.9805575,74.5,90
C12,SYBR,,Unkn-08,,28.78231459,619.1380147,82.5,371.4546399,75.5,87.5
D01,SYBR,,Unkn-09,,19.38234244,587624.6173,82.5,412.8483956,75.5,87.5
D02,SYBR,,Unkn-09,,18.19782543,1394053.784,82.5,435.7656567,76,88.5
D03,SYBR,,Unkn-09,,16.1838081,6056084.859,83,442.5748845,76,91
D04,SYBR,,Unkn-10,,17.7715615,1902360.397,83,421.2457353,75.5,87.5
D05,SYBR,,Unkn-10,,17.57671608,2192842.387,83,444.6227798,76.5,88
D06,SYBR,,Unkn-10,,17.51236264,2298214.109,83,459.5012985,67.5,91.5
D07,SYBR,,Unkn-11,,18.01666123,1590965.685,83,418.9428352,75,88
D08,SYBR,,Unkn-11,,17.78267845,1886998.934,83,445.9347505,67.5,89.5
D09,SYBR,,Unkn-11,,17.77900061,1892067.216,83,438.975691,75.5,88.5
D10,SYBR,,Unkn-12,,19.24578151,649163.0433,83,408.8438248,77,88
D11,SYBR,,Unkn-12,,18.76454767,922099.9926,83,432.1736851,77,88
D12,SYBR,,Unkn-12,,18.68948204,973988.953,83,405.62048,77.5,88.5
E01,SYBR,,Unkn-13,,17.97040593,1645551.745,83,419.2882333,75.5,87.5
E02,SYBR,,Unkn-13,,17.65183806,2075934.075,83,446.8397638,67.5,87.5
E03,SYBR,,Unkn-13,,17.6405808,2093047.769,83,440.6304701,76,87.5
E04,SYBR,,Unkn-14,,18.54468046,1082475.186,83,410.4635453,77,87.5
E05,SYBR,,Unkn-14,,17.33802464,2609814.638,83,450.1757677,77,87.5
E06,SYBR,,Unkn-14,,17.04245004,3237642.336,83,433.1818092,77.5,89
E07,SYBR,,Unkn-15,,27.28624882,1843.511385,82.5,399.9278487,67.5,90
E08,SYBR,,Unkn-15,,26.68513826,2857.849584,82.5,424.8932196,67.5,89
E09,SYBR,,Unkn-15,,26.79270358,2642.22334,82.5,419.864739,67.5,87.5
E10,SYBR,,Unkn-16,,28.69742157,658.6825696,82.5,369.3925552,75.5,87.5
E11,SYBR,,Unkn-16,,28.13145338,995.2652686,82.5,374.7832479,76.5,90
E12,SYBR,,Unkn-16,,28.09186863,1024.417001,82.5,375.4806126,76.5,90
F01,SYBR,,Unkn-17,,28.88477378,574.5593884,82.5,343.0740039,75,88
F02,SYBR,,Unkn-17,,28.80417542,609.3451411,82.5,380.0826599,74,88
F03,SYBR,,Unkn-17,,29.03857932,513.5930357,82.5,369.7448536,77.5,87
F04,SYBR,,Unkn-18,,19.17602641,683042.5547,83.5,393.1148602,67.5,89
F05,SYBR,,Unkn-18,,18.89879987,836094.7034,83.5,394.6776188,75.5,88.5
F06,SYBR,,Unkn-18,,18.73795646,940157.0794,83.5,384.4040301,75.5,90
F07,SYBR,,Unkn-19,,29.1370108,478.015853,82.5,360.9714539,75.5,89
F08,SYBR,,Unkn-19,,28.14481268,985.6153851,82.5,378.5722714,76,90.5
F09,SYBR,,Unkn-19,,27.09591698,2118.023771,82.5,366.8902633,76,88.5
F10,SYBR,,Unkn-20,,28.51667831,751.4915944,82.5,350.436729,77,89
F11,SYBR,,Unkn-20,,28.07911159,1033.992519,82.5,368.1088307,77.5,87.5
F12,SYBR,,Unkn-20,,27.2297488,1921.062233,82.5,287.5100436,78,87.5
G01,SYBR,,Unkn-21,,28.37832057,831.2794525,83,373.339327,76,88.5
G02,SYBR,,Unkn-21,,27.52429282,1549.703614,82.5,383.7173885,75,88.5
G03,SYBR,,Unkn-21,,27.5771696,1491.078992,82.5,347.3065016,67.5,87.5
