Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.53959824,10000000,83,409.6937181,76,89.5
A02,SYBR,,Std,,14.77029088,10000000,83,433.9590377,76,90
A03,SYBR,,Std,,14.52679026,10000000,83,394.9518955,76.5,90
A04,SYBR,,Std,,27.61265134,10000,83,380.350513,76,88
A05,SYBR,,Std,,25.42260261,10000,83,403.8580594,76,89.5
A06,SYBR,,Std,,25.11424993,10000,83,375.3820427,76,88.5
A07,SYBR,,Std,,29.04398809,1000,83,295.5340602,77.5,89.5
A08,SYBR,,Std,,28.23953406,1000,83,327.838473,77,87.5
A09,SYBR,,Std,,26.28366956,1000,83,248.7221676,79,87
A10,SYBR,,NTC,,29.2704305,NaN,73.5,231.0483922,67.5,80
A11,SYBR,,NTC,,31.59364212,NaN,82.5,348.0850699,76,88
A12,SYBR,,NTC,,31.09163116,NaN,82.5,318.2554463,76,87
B01,SYBR,,Unkn-01,,32.29880105,66.36315555,82.5,230.4317879,79,87
B02,SYBR,,Unkn-01,,31.28477989,136.2092985,82.5,314.6434691,78.5,89
B03,SYBR,,Unkn-01,,30.19600687,294.7862315,82.5,345.5105375,78.5,87
B04,SYBR,,Unkn-02,,17.80035562,1935947.602,83,418.2982447,76,88
B05,SYBR,,Unkn-02,,16.29491162,5630056.588,83,399.9660531,76,88
B06,SYBR,,Unkn-02,,16.07970183,6558267.73,83.5,433.1390139,77,90
B07,SYBR,,Unkn-03,,30.48650325,239.9083821,82.5,242.052367,79,87.5
B08,SYBR,,Unkn-03,,29.55249426,465.2479426,82.5,283.2886468,77.5,89
B09,SYBR,,Unkn-03,,29.19617282,598.9876065,82.5,300.9385667,77,88
B10,SYBR,,Unkn-04,,19.89304077,438961.6948,83,391.5011798,77.5,89
B11,SYBR,,Unkn-04,,17.86917005,1843747.248,83,401.1472994,77.5,88.5
B12,SYBR,,Unkn-04,,17.94414633,1748282.297,83,393.5775726,77,88.5
C01,SYBR,,Unkn-05,,32.30200022,66.21277739,82.5,288.1930288,78.5,88.5
C02,SYBR,,Unkn-05,,31.54373954,113.3592825,82.5,335.026705,78.5,88
C03,SYBR,,Unkn-05,,30.60500367,220.5727348,83,339.2540128,78,89
C04,SYBR,,Unkn-06,,22.34167492,77328.74759,83.5,390.4911337,76,89.5
C05,SYBR,,Unkn-06,,20.51548417,282317.5457,84,395.3942094,67.5,88.5
C06,SYBR,,Unkn-06,,19.97567685,413978.5825,84,408.5517426,76,89.5
C07,SYBR,,Unkn-07,,19.34657012,646723.5579,83,396.2377606,67.5,88
C08,SYBR,,Unkn-07,,17.76690846,1982412.571,83,434.2950615,77,89.5
C09,SYBR,,Unkn-07,,17.53991025,2328631.715,83,398.3613017,67.5,88
C10,SYBR,,Unkn-08,,31.10498907,154.730329,82.5,315.7992956,78,87.5
C11,SYBR,,Unkn-08,,31.10027973,155.2479045,82.5,324.574539,75.5,88.5
C12,SYBR,,Unkn-08,,29.56617811,460.7553209,82.5,370.3357995,75.5,89.5
D01,SYBR,,Unkn-09,,30.47955475,241.0933854,83,307.9964949,78.5,88
D02,SYBR,,Unkn-09,,30.16152664,302.0826542,83,333.3491123,78,88
D03,SYBR,,Unkn-09,,29.77663801,396.8777591,83,342.4580207,78,89
D04,SYBR,,Unkn-10,,32.02379508,80.65259544,83,255.0557245,79,87.5
D05,SYBR,,Unkn-10,,29.71873527,413.5124497,83,339.6758233,78.5,87
D06,SYBR,,Unkn-10,,30.48239046,240.6090756,83,341.1395774,78.5,90
D07,SYBR,,Unkn-11,,31.00452762,166.1551224,82.5,209.7312103,79,87.5
D08,SYBR,,Unkn-11,,30.51974477,234.3194319,73.5,214.2966645,67.5,80
D09,SYBR,,Unkn-11,,30.5113441,235.7194347,82.5,237.7706741,79.5,87.5
D10,SYBR,,Unkn-12,,30.42324201,250.9154856,73.5,214.1195632,67.5,80
D11,SYBR,,Unkn-12,,30.19631072,294.7227241,73.5,203.9932687,67.5,79.5
D12,SYBR,,Unkn-12,,30.16775466,300.7514956,83,204.9274302,79.5,89.5
E01,SYBR,,Unkn-13,,30.67349503,210.1159922,83,268.3297069,79,89.5
E02,SYBR,,Unkn-13,,29.33606131,542.4222956,83,309.8142245,78.5,87.5
E03,SYBR,,Unkn-13,,28.91217246,732.6205252,83,332.4339564,78.5,88
E04,SYBR,,Unkn-14,,29.75687005,402.480216,82.5,218.6938128,79.5,87
E05,SYBR,,Unkn-14,,29.45964115,496.9122094,82.5,262.9591632,78.5,88.5
E06,SYBR,,Unkn-14,,29.5024965,482.0386467,83,203.3298033,79.5,88
E07,SYBR,,Unkn-15,,32.32937059,64.94007382,82.5,273.6861566,77,90
E08,SYBR,,Unkn-15,,32.44322153,59.90334091,83,261.2934149,78.5,87
E09,SYBR,,Unkn-15,,32.58933176,54.00757592,83,309.416135,76.5,87.5
E10,SYBR,,Unkn-16,,29.23650362,582.0998542,73.5,236.7031665,67.5,80
E11,SYBR,,Unkn-16,,28.00667282,1392.317664,73.5,241.2303097,67.5,80
E12,SYBR,,Unkn-16,,29.21984529,589.0167151,73.5,240.9512253,67.5,79.5
