Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,18.62797221,10000000,82.5,423.4433199,76,87
A02,SYBR,,Std,,18.14094901,10000000,82.5,460.7449142,77.5,87.5
A03,SYBR,,Std,,13.80749564,10000000,83,447.4431305,76,87.5
A04,SYBR,,Std,,29.11052093,10000,82.5,405.8355537,76.5,89.5
A05,SYBR,,Std,,27.00017992,10000,82.5,403.6650578,76,87.5
A06,SYBR,,Std,,24.85737248,10000,83,404.7539823,76,88.5
A07,SYBR,,Std,,32.58260272,1000,82.5,301.0157726,77,87
A08,SYBR,,Std,,31.11572949,1000,82.5,333.835851,77.5,87.5
A09,SYBR,,Std,,27.59452967,1000,82.5,349.4669603,76.5,87
A10,SYBR,,NTC,,32.30327477,NaN,82.5,366.1185188,76.5,90
A11,SYBR,,NTC,,31.56727127,NaN,82.5,368.4610754,76.5,88
A12,SYBR,,NTC,,30.16385458,NaN,82.5,386.4819203,76,89.5
B01,SYBR,,Unkn-01,,21.84404916,336449.2408,83.5,404.9260514,76.5,88
B02,SYBR,,Unkn-01,,21.07990383,565428.3634,83.5,429.7124539,76.5,89
B03,SYBR,,Unkn-01,,18.56732706,3116760.046,83.5,415.9069214,76.5,89.5
B04,SYBR,,Unkn-02,,33.01194554,170.5595991,73.5,259.5412626,67.5,80
B05,SYBR,,Unkn-02,,31.3116439,541.4313482,73.5,299.9945612,67.5,80
B06,SYBR,,Unkn-02,,30.80381834,764.4961612,74,302.2792305,67.5,80
B07,SYBR,,Unkn-03,,26.44846877,14736.82303,83.5,398.9267992,75,91
B08,SYBR,,Unkn-03,,24.32431279,62391.81773,83.5,442.9138835,75,91.5
B09,SYBR,,Unkn-03,,23.89855897,83319.10751,83.5,418.1209332,74.5,90.5
B10,SYBR,,Unkn-04,,31.02610086,657.3425362,82.5,401.9746028,76.5,88
B11,SYBR,,Unkn-04,,30.51847007,928.0388987,82.5,420.6572859,75,87
B12,SYBR,,Unkn-04,,30.37602418,1022.337459,82.5,394.1726578,75,90
C01,SYBR,,Unkn-05,,20.45288292,865720.3252,82.5,445.5044324,74.5,89
C02,SYBR,,Unkn-05,,18.09547335,4294592.174,82.5,441.2607708,75,88
C03,SYBR,,Unkn-05,,18.13862131,4170530.416,82.5,462.1320046,75,88
C04,SYBR,,Unkn-06,,19.17776123,2058719.578,82.5,450.049596,76,87.5
C05,SYBR,,Unkn-06,,17.99352023,4602595.29,82.5,464.0639419,75.5,87.5
C06,SYBR,,Unkn-06,,16.37084691,13860091.49,83,448.3752202,75,89
C07,SYBR,,Unkn-07,,32.88915741,185.3976886,82.5,308.1408664,77,88.5
C08,SYBR,,Unkn-07,,31.53059349,466.5983437,82.5,356.6045781,76.5,89.5
C09,SYBR,,Unkn-07,,29.40785602,1973.551375,82.5,317.2048367,78,87.5
