Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
G04,SYBR,,Unkn-22,,27.28855095,2438.070144,83,211.6766895,79.5,88.5
G05,SYBR,,Unkn-22,,27.32785272,2371.671944,73.5,222.2319849,67.5,79.5
G06,SYBR,,Unkn-22,,27.200816,2593.077446,73.5,213.4638818,67.5,79.5
G07,SYBR,,Unkn-23,,28.58455321,980.8799396,73.5,223.2090201,67.5,79.5
G08,SYBR,,Unkn-23,,27.38672059,2275.585294,73.5,245.1542242,67.5,80
G09,SYBR,,Unkn-23,,27.46615027,2152.077437,73.5,244.2652838,67.5,80.5
G10,SYBR,,Unkn-24,,21.82800702,113016.7063,83.5,386.2823286,75.5,91
G11,SYBR,,Unkn-24,,21.79658491,115539.3755,83.5,417.5445321,75.5,89.5
G12,SYBR,,Unkn-24,,21.8909208,108130.1179,83.5,438.162616,78,89
H01,SYBR,,Unkn-25,,19.3876221,627685.1393,83,382.4756261,77.5,88.5
H02,SYBR,,Unkn-25,,19.0465479,797643.5608,83,406.1804513,77.5,90
H03,SYBR,,Unkn-25,,19.03573246,803727.4894,83,434.950996,77,87.5
H04,SYBR,,Unkn-26,,17.67149276,2095846.465,83,420.3945618,75.5,91.5
H05,SYBR,,Unkn-26,,17.57856362,2237245.181,82.5,434.0487749,75.5,87.5
H06,SYBR,,Unkn-26,,17.51159118,2345027.339,82.5,449.6118549,67.5,91
H07,SYBR,,Unkn-27,,23.0636062,47439.73068,82.5,406.3305534,67.5,88.5
H08,SYBR,,Unkn-27,,23.00513923,49428.95081,82.5,420.7257023,75,88
H09,SYBR,,Unkn-27,,23.04327108,48122.34408,82.5,432.7225909,75,87.5
H10,SYBR,,Unkn-28,,25.21804966,10442.10791,82.5,352.5509448,76.5,87
H11,SYBR,,Unkn-28,,24.63251275,15755.94842,82.5,351.3483808,77,87
H12,SYBR,,Unkn-28,,25.30263382,9839.663391,82.5,372.0628363,77,88.5
