Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.12520859,10000000,83,417.8236168,75.5,87.5
A02,SYBR,,Std,,14.84272854,10000000,83,450.9895929,67.5,89.5
A03,SYBR,,Std,,14.85058853,10000000,82.5,402.9763048,67.5,90.5
A04,SYBR,,Std,,26.53862376,10000,82.5,397.4071752,76,88.5
A05,SYBR,,Std,,25.32285707,10000,83,437.9648881,76.5,87.5
A06,SYBR,,Std,,25.31347857,10000,83,412.1102177,75.5,89
A07,SYBR,,Std,,29.03534609,1000,83,373.4298799,75.5,88
A08,SYBR,,Std,,29.01870572,1000,83,365.9760439,75.5,87.5
A09,SYBR,,Std,,29.21438874,1000,82.5,380.4602206,76,89
A10,SYBR,,NTC,,34.21567245,NaN,82.5,356.95518,67.5,87
A11,SYBR,,NTC,,33.93851355,NaN,82.5,381.9988435,76,91
A12,SYBR,,NTC,,32.11174297,NaN,82.5,369.0615222,76,87.5
B01,SYBR,,Unkn-01,,29.38320312,870.4954341,83.5,291.3146411,76.5,90.5
B02,SYBR,,Unkn-01,,29.62905605,742.2116444,83,326.4259765,78,88
B03,SYBR,,Unkn-01,,28.6252398,1423.079475,83.5,358.9946952,77.5,88
B04,SYBR,,Unkn-02,,24.04092803,27815.921,83,423.1331019,77,87.5
B05,SYBR,,Unkn-02,,23.8897589,30680.80113,83,424.7030304,77.5,88.5
B06,SYBR,,Unkn-02,,22.95283181,56328.77655,83,431.8914417,77,89
B07,SYBR,,Unkn-03,,29.13450837,1022.834956,83,357.0940983,78,89.5
B08,SYBR,,Unkn-03,,28.73063336,1329.068981,83,357.472061,78,88
B09,SYBR,,Unkn-03,,28.74921834,1313.147451,83,365.7395073,77.5,91
B10,SYBR,,Unkn-04,,17.84180005,1549290.947,82.5,409.7583748,67.5,88.5
B11,SYBR,,Unkn-04,,17.80258286,1589196.463,82.5,439.7157572,75.5,88.5
B12,SYBR,,Unkn-04,,16.88778257,2876137.96,82.5,438.4574257,67.5,92
C01,SYBR,,Unkn-05,,19.10473604,683056.4158,83,422.5805285,76,88
C02,SYBR,,Unkn-05,,18.40626571,1074396.093,83,450.3080216,74.5,88.5
C03,SYBR,,Unkn-05,,17.46983911,1971910.005,83,458.1862444,76,89
C04,SYBR,,Unkn-06,,31.12681233,281.0086601,83,366.3750776,78,88
C05,SYBR,,Unkn-06,,30.03076924,571.9981598,83.5,373.0288466,78,88.5
C06,SYBR,,Unkn-06,,28.47671221,1566.962049,83.5,380.8211357,78,88.5
C07,SYBR,,Unkn-07,,16.16191077,4605052.081,83,445.3079786,75.5,89
C08,SYBR,,Unkn-07,,16.07950621,4857824.989,83,459.32054,76,89
C09,SYBR,,Unkn-07,,15.84471858,5656715.221,83,462.9801343,76,87.5
C10,SYBR,,Unkn-08,,20.87441002,216804.9778,83.5,404.4465089,67.5,91
C11,SYBR,,Unkn-08,,20.3068641,313260.2532,83.5,416.5736717,76,90
C12,SYBR,,Unkn-08,,19.30416631,600194.0689,83.5,416.5966989,76,89
D01,SYBR,,Unkn-09,,33.13793737,76.26641478,83,328.0999253,78,88.5
D02,SYBR,,Unkn-09,,33.5181416,59.60156931,83,342.585243,78,88
D03,SYBR,,Unkn-09,,32.71546652,100.3026422,83,343.8299704,78.5,89
D04,SYBR,,Unkn-10,,28.46308114,1580.874348,83,361.0480328,77.5,87.5
D05,SYBR,,Unkn-10,,27.8910545,2290.8428,83,393.6507036,77.5,88
D06,SYBR,,Unkn-10,,27.12135057,3773.674314,83,372.8087689,77.5,89
D07,SYBR,,Unkn-11,,33.2636843,70.2942248,82.5,381.0548058,75,87
D08,SYBR,,Unkn-11,,34.10976777,40.61065639,82.5,349.6511342,75,87.5
D09,SYBR,,Unkn-11,,33.1874116,73.85842963,82.5,356.1141348,76,88.5
D10,SYBR,,Unkn-12,,33.44812078,62.37024081,82.5,296.5346857,78.5,87
D11,SYBR,,Unkn-12,,32.60572814,107.7004766,82.5,347.0547489,74.5,88.5
D12,SYBR,,Unkn-12,,32.0851592,150.946728,82.5,346.261632,75.5,90
E01,SYBR,,Unkn-13,,29.12383962,1029.93583,83.5,372.9178373,75,90.5
E02,SYBR,,Unkn-13,,29.05626164,1076.073474,83.5,397.8599798,74.5,88.5
E03,SYBR,,Unkn-13,,27.09087455,3848.994363,83.5,400.5332534,77,88.5
E04,SYBR,,Unkn-14,,30.77049454,354.0530046,82.5,392.1177557,76,88
E05,SYBR,,Unkn-14,,28.87605733,1209.462087,83,418.2520414,76.5,88.5
E06,SYBR,,Unkn-14,,28.15381701,1931.943264,83,419.3081758,76.5,91.5
E07,SYBR,,Unkn-15,,30.61540417,391.5127083,82.5,313.9180816,78,87.5
E08,SYBR,,Unkn-15,,30.1182322,540.4589739,82.5,280.2622002,79,89
E09,SYBR,,Unkn-15,,26.65440692,5108.203414,74,314.4115127,67.5,80.5
E10,SYBR,,Unkn-16,,19.23462674,627878.9075,83,418.1437958,75.5,88.5
E11,SYBR,,Unkn-16,,17.09970167,2506845.976,83,443.8271806,75.5,88
E12,SYBR,,Unkn-16,,16.31431937,4171691.882,83,429.6884897,76.5,90.5
F01,SYBR,,Unkn-17,,34.26586237,36.70114486,82.5,325.8607448,76.5,89
F02,SYBR,,Unkn-17,,34.51098231,31.30742202,82.5,345.7334538,76.5,88.5
F03,SYBR,,Unkn-17,,32.91990604,87.84898753,82.5,379.5672618,76.5,87
F04,SYBR,,Unkn-18,,24.73394431,17746.86315,83,406.2110299,76,87.5
F05,SYBR,,Unkn-18,,23.20339394,47881.23565,83,425.6985221,75.5,87.5
F06,SYBR,,Unkn-18,,22.21663035,90795.48581,83,418.8099437,76.5,87.5
F07,SYBR,,Unkn-19,,20.94333135,207328.5767,83.5,365.5970591,77.5,92
F08,SYBR,,Unkn-19,,20.27962072,318843.6394,83.5,395.9859841,77.5,88.5
F09,SYBR,,Unkn-19,,20.26557727,321760.5278,83.5,373.0862943,77,89.5
F10,SYBR,,Unkn-20,,34.68293527,28.00404552,82.5,206.8791091,78,88
F11,SYBR,,Unkn-20,,33.24762798,71.02995422,82.5,314.600012,77,90.5
F12,SYBR,,Unkn-20,,32.85288028,91.75146345,82.5,334.980507,76.5,87
G01,SYBR,,Unkn-21,,34.09351403,41.04095855,82.5,286.811185,77.5,88
G02,SYBR,,Unkn-21,,33.60698536,56.26481903,82.5,355.2081952,77.5,88
G03,SYBR,,Unkn-21,,34.41919957,33.22735507,82.5,371.6002202,76,89
G04,SYBR,,Unkn-22,,24.46275461,21159.03433,83.5,368.0825396,76,90.5
G05,SYBR,,Unkn-22,,22.44902599,78093.60215,83.5,401.4395354,75,89
G06,SYBR,,Unkn-22,,21.08980741,188541.7815,83.5,391.9700453,67.5,88.5
G07,SYBR,,Unkn-23,,27.66315976,2655.684733,83,322.1079083,78,87.5
G08,SYBR,,Unkn-23,,26.47343301,5744.27545,83.5,343.615016,78,90.5
G09,SYBR,,Unkn-23,,26.29592405,6445.053219,83.5,332.3847262,78,88.5
G10,SYBR,,Unkn-24,,18.15061928,1268122.667,83,406.8148758,75,89
G11,SYBR,,Unkn-24,,17.23220725,2300438.107,83,391.2471801,67.5,90.5
G12,SYBR,,Unkn-24,,16.54157795,3600063.462,83,422.3848428,76,89.5
H01,SYBR,,Unkn-25,,30.68401739,374.474763,83,340.3780617,75,89
H02,SYBR,,Unkn-25,,30.61640037,391.2598705,83,372.5841535,75,89.5
H03,SYBR,,Unkn-25,,30.86273139,333.4970002,82.5,374.8935105,76.5,87
H04,SYBR,,Unkn-26,,32.03116323,156.3257089,82.5,230.8511534,77.5,86.5
H05,SYBR,,Unkn-26,,26.64537326,5138.215358,73.5,248.0044822,67.5,86
H06,SYBR,,Unkn-26,,31.62712006,203.1513558,82.5,221.1117376,79,88
H07,SYBR,,Unkn-27,,31.50116149,220.4413238,82.5,336.8732817,76,87.5
H08,SYBR,,Unkn-27,,32.04205869,155.2251024,82.5,333.7183945,77,90.5
H09,SYBR,,Unkn-27,,30.93481614,318.2665134,83,333.8867912,76,90
H10,SYBR,,Unkn-28,,31.28176053,254.1453481,82.5,292.1038072,75.5,87.5
H11,SYBR,,Unkn-28,,29.21749244,969.2482762,82.5,369.3148566,75,89.5
H12,SYBR,,Unkn-28,,29.52224625,795.4415057,82.5,341.9616026,72.5,87
