Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.39767345,10000000,82.5,488.3322175,75.5,88
A02,SYBR,,Std,,14.18027057,10000000,83,431.0458151,75,88
A03,SYBR,,Std,,24.86666782,10000,82.5,359.1957215,75,88
A04,SYBR,,Std,,24.58755918,10000,83,397.8381617,67.5,89
A05,SYBR,,Std,,28.59672948,1000,82.5,403.412029,76,87
A06,SYBR,,Std,,27.73957867,1000,83,352.3965343,76,87.5
A07,SYBR,,NTC,,31.9915842,NaN,83,291.4848805,78.5,87
A08,SYBR,,NTC,,32.56457517,NaN,82.5,357.3411165,78,87
A09,SYBR,,Unkn-01,,32.97256567,29.37922423,82,363.3220033,76,90
A10,SYBR,,Unkn-01,,34.30841663,11.24472439,82.5,314.2221268,77.5,89
A11,SYBR,,Unkn-02,,17.81430564,1588143.912,83,432.9337759,67.5,89
A12,SYBR,,Unkn-02,,16.61265674,3767728.327,83.5,384.4384549,76,91
B01,SYBR,,Unkn-03,,31.48801181,85.42032221,82.5,327.5306488,78,88
B02,SYBR,,Unkn-03,,31.13742294,109.9069728,83,303.9742813,78,88
B03,SYBR,,Unkn-04,,30.90073476,130.2945281,82,282.066494,78,87.5
B04,SYBR,,Unkn-04,,31.41553041,89.98953472,82.5,286.9267045,78,89
B05,SYBR,,Unkn-05,,19.97288596,336448.2805,82,423.9780949,75,87
B06,SYBR,,Unkn-05,,19.12799309,617615.8496,82.5,419.0935337,75,87.5
B07,SYBR,,Unkn-06,,23.023845,37524.95581,83,391.9083754,74,88.5
B08,SYBR,,Unkn-06,,21.72774264,95279.84299,83.5,390.296463,76,88
B09,SYBR,,Unkn-07,,16.3477834,4558067.344,82.5,473.4435774,73.5,87
B10,SYBR,,Unkn-07,,15.34748407,9356281.332,82.5,447.19466,75,89
B11,SYBR,,Unkn-08,,17.413072,2119174.218,82,464.1268348,76.5,86.5
B12,SYBR,,Unkn-08,,16.1791298,5145638.766,82.5,338.9320458,73.5,90
C01,SYBR,,Unkn-09,,29.52178086,351.1362597,82,385.2216115,75,88.5
C02,SYBR,,Unkn-09,,28.60122378,680.6131989,82.5,379.5479656,77,87
C03,SYBR,,Unkn-10,,19.61557833,434990.8718,82.5,433.3779172,76.5,87.5
C04,SYBR,,Unkn-10,,20.10771443,305366.1871,82.5,407.882587,77,88
C05,SYBR,,Unkn-11,,28.44888218,759.3916928,82,332.4440626,78,86.5
C06,SYBR,,Unkn-11,,28.02686011,1028.568933,82.5,316.8751177,78,89.5
C07,SYBR,,Unkn-12,,24.0655175,17745.15297,82.5,400.6959664,77,88
C08,SYBR,,Unkn-12,,23.38073849,29032.71611,82.5,409.0302749,76,90
C09,SYBR,,Unkn-13,,29.47320407,363.6158169,82.5,327.7892962,77.5,89.5
C10,SYBR,,Unkn-13,,30.3863605,188.5943927,82,357.7097079,77.5,91
C11,SYBR,,Unkn-14,,29.22729401,433.9333563,82.5,356.1143262,77,87
C12,SYBR,,Unkn-14,,28.2692161,864.0976389,83,346.6654723,77.5,89
D01,SYBR,,Unkn-15,,29.1325458,464.5218886,82,377.4991607,77,88.5
D02,SYBR,,Unkn-15,,29.68698708,311.8124799,82.5,344.7332398,76,87
D03,SYBR,,Unkn-16,,21.6353888,101820.8191,82.5,416.4323858,77,88
D04,SYBR,,Unkn-16,,20.31763348,262589.9581,82.5,420.0828426,75.5,87.5
D05,SYBR,,Unkn-17,,21.05180292,154899.162,83,402.348983,74.5,90
D06,SYBR,,Unkn-17,,20.05671691,316769.8596,83,381.9913153,74.5,91.5
D07,SYBR,,Unkn-18,,23.28049319,31202.33995,82.5,438.2778935,77,87
D08,SYBR,,Unkn-18,,21.55989142,107500.1487,83,378.6563079,77,91.5
D09,SYBR,,Unkn-19,,20.63354735,209238.0281,82.5,429.3678927,75,88.5
D10,SYBR,,Unkn-19,,19.39403704,510095.8359,82.5,435.4762219,74,90.5
D11,SYBR,,Unkn-20,,19.25165477,565077.042,82.5,431.4822759,76.5,87.5
D12,SYBR,,Unkn-20,,17.00902211,2833497.19,82.5,386.3690353,73.5,91.5
E01,SYBR,,Unkn-21,,29.52777253,349.626952,82.5,379.5202974,77.5,87.5
E02,SYBR,,Unkn-21,,28.65234614,656.0523232,82.5,377.273841,77.5,88.5
E03,SYBR,,Unkn-22,,19.03071735,662354.8924,82,467.0472696,75.5,87
E04,SYBR,,Unkn-22,,17.76202309,1648974.679,82.5,428.903941,67.5,87
E05,SYBR,,Unkn-23,,17.8348258,1564886.569,82.5,468.9913174,74,89
E06,SYBR,,Unkn-23,,17.0927094,2668045.193,82.5,388.4093311,76,90
E07,SYBR,,Unkn-24,,21.46233805,115310.2895,82.5,403.2833713,75,88.5
E08,SYBR,,Unkn-24,,21.01824536,158681.6517,82.5,452.7756915,76,88
E09,SYBR,,Unkn-25,,19.4285842,497582.5599,82.5,436.989924,73,88
E10,SYBR,,Unkn-25,,18.52958608,949638.913,83,397.5068127,67.5,87.5
E11,SYBR,,Unkn-26,,18.60221946,901322.5777,82.5,448.8981952,74.5,88.5
E12,SYBR,,Unkn-26,,18.06056358,1330457.37,82.5,406.096323,75,88
F01,SYBR,,Unkn-27,,19.20286847,585248.3037,82.5,411.9035723,76.5,88.5
F02,SYBR,,Unkn-27,,17.52125448,1960599.769,82.5,378.5131792,76.5,88
F03,SYBR,,Unkn-28,,28.87235922,560.0721764,82,393.4823073,77,88.5
F04,SYBR,,Unkn-28,,29.2235366,435.1071392,82.5,367.5099647,74,89.5
F05,SYBR,,Unkn-29,,22.5313755,53466.71319,83,411.9237174,77,88
F06,SYBR,,Unkn-29,,21.33615871,126259.7495,83,355.6806623,77,89.5
F07,SYBR,,Unkn-30,,19.59385604,441837.401,82.5,404.8683842,77,88
F08,SYBR,,Unkn-30,,18.30445961,1116476.36,83,361.400925,77.5,88.5
F09,SYBR,,Unkn-31,,18.30753684,1114009.081,82.5,436.5632468,75.5,90
F10,SYBR,,Unkn-31,,17.19322311,2482046.295,82.5,384.4592715,67.5,89.5
F11,SYBR,,Unkn-32,,17.47121496,2032416.625,82.5,449.1411442,76,87.5
F12,SYBR,,Unkn-32,,16.23417456,4945984.158,83,379.2693712,78.5,88.5
G01,SYBR,,Unkn-33,,18.76043884,804413.8852,82.5,401.8506519,76.5,90.5
G02,SYBR,,Unkn-33,,17.39972013,2139614.359,83,369.512774,77,89.5
G03,SYBR,,Unkn-34,,27.06930959,2047.427442,82.5,379.7031071,77,87.5
G04,SYBR,,Unkn-34,,27.09057359,2016.365597,83,376.3143594,67.5,88
G05,SYBR,,Unkn-35,,17.00212459,2847583.006,82.5,440.0651422,75.5,87.5
G06,SYBR,,Unkn-35,,16.73252606,3456629.991,83.5,354.9195122,74.5,93
G07,SYBR,,Unkn-36,,19.45386242,488621.4785,82.5,414.1099168,75,89
G08,SYBR,,Unkn-36,,18.63273659,881763.0883,82.5,393.2868046,75.5,89
G09,SYBR,,Unkn-37,,18.36226121,1071031.375,82.5,423.0815218,73.5,88.5
G10,SYBR,,Unkn-37,,17.77682391,1631521.271,82.5,391.0206627,67.5,88
G11,SYBR,,Unkn-38,,29.76853037,294.0582089,82,316.2763402,77,87
G12,SYBR,,Unkn-38,,29.0518926,492.2530967,82.5,316.0005154,75.5,89.5
H01,SYBR,,Unkn-39,,18.47502048,987632.7221,82.5,401.5583674,76,88
H02,SYBR,,Unkn-39,,17.05815431,2735157.146,82.5,320.162978,76.5,87.5
