Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.00560848,10000000,83,430.5060587,76,87.5
A02,SYBR,,Std,,15.3491524,10000000,82.5,448.0319575,77.5,89
A03,SYBR,,Std,,15.04340682,10000000,83,450.016181,67.5,93
A04,SYBR,,Std,,25.90548938,10000,82.5,404.3433442,76.5,87.5
A05,SYBR,,Std,,25.81580685,10000,83,416.4407432,76,87.5
A06,SYBR,,Std,,25.91752285,10000,83,398.6600201,75,87.5
A07,SYBR,,Std,,27.84689909,1000,82.5,309.5427868,77,86.5
A08,SYBR,,Std,,27.12050199,1000,82.5,355.0186736,77,87
A09,SYBR,,Std,,27.30614253,1000,82.5,356.2370688,77,87.5
A10,SYBR,,NTC,,28.10141371,NaN,82.5,418.1584459,75,89
A11,SYBR,,NTC,,27.60214379,NaN,82.5,406.6252812,67.5,87
A12,SYBR,,NTC,,27.53777317,NaN,82.5,369.9024779,76.5,87
B01,SYBR,,Unkn-01,,22.00345769,91906.95284,82.5,414.3309445,76.5,88
B02,SYBR,,Unkn-01,,21.69501988,115563.4504,82.5,442.2190975,75.5,89
B03,SYBR,,Unkn-01,,21.69504273,115561.4895,82.5,436.0959259,75,87.5
B04,SYBR,,Unkn-02,,29.12765126,463.206084,82.5,361.6352425,76.5,87
B05,SYBR,,Unkn-02,,27.13998837,2026.756564,82.5,259.3217186,79,86.5
B06,SYBR,,Unkn-02,,28.33340842,835.4490897,82.5,386.0234118,76.5,88.5
B07,SYBR,,Unkn-03,,30.10684457,223.862543,73.5,208.0927559,67.5,79.5
B08,SYBR,,Unkn-03,,29.2132792,434.6693166,82.5,278.9819411,78,87
B09,SYBR,,Unkn-03,,29.32095981,401.2653517,82.5,249.5195112,78.5,87
B10,SYBR,,Unkn-04,,19.35209792,658294.1038,83,402.2774073,77,89
B11,SYBR,,Unkn-04,,18.59129509,1158193.687,83,423.70991,77.5,89.5
