Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
H01,SYBR,,Unkn-25,,17.76696172,2026427.602,83,388.6976174,77.5,87.5
H02,SYBR,,Unkn-25,,17.39012516,2661464.163,83,420.4062114,75.5,88
H03,SYBR,,Unkn-25,,17.39255061,2656798.575,83,417.1854417,67.5,88
H04,SYBR,,Unkn-26,,24.4273303,16378.13601,83,391.4564501,75.5,87.5
H05,SYBR,,Unkn-26,,24.68630711,13580.08731,82.5,388.4054482,75.5,88.5
H06,SYBR,,Unkn-26,,24.41126581,16569.57635,82.5,403.2958371,67.5,88
H07,SYBR,,Unkn-27,,23.98328361,22582.35328,83.5,371.4581795,67.5,89
H08,SYBR,,Unkn-27,,22.72649592,56054.45739,83.5,399.0687803,76,89
H09,SYBR,,Unkn-27,,22.80159789,53090.35242,83.5,385.3687617,76,88.5
H10,SYBR,,Unkn-28,,31.36462643,108.3418922,82.5,343.9230852,77.5,88
H11,SYBR,,Unkn-28,,29.36362099,460.7293421,83,390.8294683,78,93
H12,SYBR,,Unkn-28,,30.18333475,254.6355477,83,351.9855016,75,87
