Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.97979488,10000000,82.5,418.3293626,75.5,88.5
A02,SYBR,,Std,,15.54883528,10000000,83,449.7635568,76.5,88.5
A03,SYBR,,Std,,13.5750574,10000000,83,449.511446,76.5,88
A04,SYBR,,Std,,27.73171754,10000,82.5,405.5857609,75.5,87.5
A05,SYBR,,Std,,27.30232063,10000,83,408.2806826,75.5,88
A06,SYBR,,Std,,24.47290021,10000,83,396.0845523,76.5,87.5
A07,SYBR,,Std,,29.05349042,1000,83,366.9350598,76,87
A08,SYBR,,Std,,28.92644856,1000,83,407.2798999,75.5,87.5
A09,SYBR,,Std,,29.01827891,1000,82.5,400.3787557,76,87.5
A10,SYBR,,NTC,,29.19624762,NaN,82.5,404.9373699,76.5,87.5
A11,SYBR,,NTC,,29.15674929,NaN,82.5,394.271767,75.5,87
A12,SYBR,,NTC,,29.07833584,NaN,82.5,414.9046013,75.5,88.5
B01,SYBR,,Unkn-01,,21.49870342,189460.0116,82.5,394.1033886,77.5,87
B02,SYBR,,Unkn-01,,21.29441736,216897.8552,82.5,424.8908238,72.5,88
B03,SYBR,,Unkn-01,,21.19717026,231321.71,82.5,423.8380842,76,88
B04,SYBR,,Unkn-02,,32.72262785,112.2896161,82.5,380.2647269,72.5,88
B05,SYBR,,Unkn-02,,32.51236549,129.0611824,82.5,396.7184671,67.5,89
B06,SYBR,,Unkn-02,,30.71880316,423.1483965,82.5,407.1755198,67.5,88
B07,SYBR,,Unkn-03,,23.71201358,43765.48963,83.5,385.0793472,75,89.5
B08,SYBR,,Unkn-03,,23.56077086,48374.68061,83.5,429.1922902,74,88.5
B09,SYBR,,Unkn-03,,23.61604148,46636.54095,83.5,410.3206343,75.5,88.5
B10,SYBR,,Unkn-04,,32.96717421,95.50497352,82.5,368.8532398,73,88
B11,SYBR,,Unkn-04,,31.81911765,204.2315826,82.5,394.9628656,77.5,87.5
B12,SYBR,,Unkn-04,,31.57949251,239.3434398,82.5,372.3989325,73.5,87
C01,SYBR,,Unkn-05,,32.26479146,152.0476747,82.5,386.7245846,77.5,88.5
C02,SYBR,,Unkn-05,,33.740871,57.22258903,82.5,386.3317357,75.5,89.5
C03,SYBR,,Unkn-05,,32.10127123,169.432303,82.5,397.3669037,76.5,90.5
C04,SYBR,,Unkn-06,,20.6950138,322552.0331,83.5,404.6215252,75,88.5
C05,SYBR,,Unkn-06,,20.6458541,333222.6471,83.5,421.9909713,75,90
C06,SYBR,,Unkn-06,,20.58617623,346651.8255,83.5,424.9948547,67.5,90.5
C07,SYBR,,Unkn-07,,27.01389176,4917.6051,83.5,349.8684362,67.5,88.5
C08,SYBR,,Unkn-07,,26.61756748,6393.040636,83.5,406.8341247,67.5,89
C09,SYBR,,Unkn-07,,26.67193977,6167.000449,83.5,413.4922428,67.5,90
C10,SYBR,,Unkn-08,,24.88639344,20112.50772,82.5,405.3089612,67.5,89
C11,SYBR,,Unkn-08,,24.88272631,20161.39708,82.5,421.1205147,76,88
C12,SYBR,,Unkn-08,,25.16495285,16725.26305,82.5,420.1908711,77.5,87.5
D01,SYBR,,Unkn-09,,22.95541557,72222.73323,83,392.1720273,76.5,88
D02,SYBR,,Unkn-09,,21.69337188,166550.2082,83,409.3429383,76,89
D03,SYBR,,Unkn-09,,20.29394734,420646.3282,83,440.5846037,75,87.5
D04,SYBR,,Unkn-10,,19.72410068,613427.4836,82.5,403.1194145,73.5,88.5
D05,SYBR,,Unkn-10,,18.97342178,1008331.789,82.5,438.0205991,76,88.5
D06,SYBR,,Unkn-10,,18.83388715,1105919.181,83,439.9374422,74.5,88.5
D07,SYBR,,Unkn-11,,33.92973871,50.49669951,83,342.2219508,78,87.5
D08,SYBR,,Unkn-11,,34.37667731,37.56264909,83.5,360.1923031,78,89.5
D09,SYBR,,Unkn-11,,31.23265502,301.1248314,82.5,393.3263164,67.5,88
D10,SYBR,,Unkn-12,,32.64710037,118.0472202,82.5,350.1822585,77.5,88
D11,SYBR,,Unkn-12,,32.02652561,178.027698,82.5,402.3731584,75.5,87.5
D12,SYBR,,Unkn-12,,32.76816592,108.9547541,82.5,372.1094931,78.5,90
E01,SYBR,,Unkn-13,,28.62148745,1696.394926,73.5,250.9858054,67.5,80
E02,SYBR,,Unkn-13,,30.79667873,401.8846265,82.5,331.9836334,78,88
E03,SYBR,,Unkn-13,,29.75333624,801.8446145,82.5,385.2440499,78,87
E04,SYBR,,Unkn-14,,17.27855784,3096863.728,83,437.4012646,77,88
E05,SYBR,,Unkn-14,,17.18403809,3296848.94,83,446.6209126,77,91
E06,SYBR,,Unkn-14,,17.33384793,2985552.554,83,420.1433578,77,90
E07,SYBR,,Unkn-15,,17.35729019,2939574.314,83.5,402.3317813,77,89
E08,SYBR,,Unkn-15,,16.89013812,4005005.697,83.5,413.9420863,76.5,89
E09,SYBR,,Unkn-15,,16.8676732,4065017.328,83.5,397.9853769,77,90
E10,SYBR,,Unkn-16,,32.82112323,105.2009216,83,351.6275301,78,87
E11,SYBR,,Unkn-16,,33.65462975,60.58486776,82.5,379.3346186,78,88
E12,SYBR,,Unkn-16,,34.41421453,36.64065753,82.5,384.7125217,76.5,89
F01,SYBR,,Unkn-17,,33.17976711,82.96594282,82.5,326.7361037,78,87.5
F02,SYBR,,Unkn-17,,33.90398644,51.36501973,83,334.1221407,78,87.5
F03,SYBR,,Unkn-17,,32.98663113,94.28261179,82.5,393.7476656,77.5,88.5
F04,SYBR,,Unkn-18,,31.81774878,204.4167555,83,365.8842064,77.5,87.5
F05,SYBR,,Unkn-18,,32.03511505,177.0181847,83,365.7853219,77.5,88
F06,SYBR,,Unkn-18,,32.00766764,180.2643091,83,353.3931278,78,88
F07,SYBR,,Unkn-19,,35.00384269,24.79872879,82.5,325.7169148,78,88.5
F08,SYBR,,Unkn-19,,33.87938493,52.20848006,82.5,337.6232673,77.5,88
F09,SYBR,,Unkn-19,,33.39703853,71.850289,82.5,352.4388474,78,88
F10,SYBR,,Unkn-20,,31.00124693,350.9801658,83,297.5510601,78.5,90.5
F11,SYBR,,Unkn-20,,30.31226337,553.8392649,83,324.6904504,78.5,91.5
F12,SYBR,,Unkn-20,,31.16839029,314.2131782,83.5,330.0087609,78.5,89
