Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
G06,SYBR,,Unkn-22,,17.9702327,2102260.413,82.5,408.582261,67.5,90.5
G07,SYBR,,Unkn-23,,26.51087565,4452.997676,82.5,327.5248855,74,87
G08,SYBR,,Unkn-23,,25.21710867,11316.8266,82.5,359.3808561,67.5,87
G09,SYBR,,Unkn-23,,24.58848752,17805.03804,82.5,397.4245102,67.5,89
G10,SYBR,,Unkn-24,,30.16933272,318.5717328,82.5,309.4045523,74,88.5
G11,SYBR,,Unkn-24,,29.76891407,425.1834801,82.5,318.1284075,67.5,88
G12,SYBR,,Unkn-24,,28.69107099,924.7915284,82.5,338.3203055,74,90.5
H01,SYBR,,Unkn-25,,32.76538644,49.02248937,83,280.9971173,78,89
H02,SYBR,,Unkn-25,,31.62365553,111.6518159,82.5,282.7052018,78.5,87.5
H03,SYBR,,Unkn-25,,31.22492669,148.8352715,82.5,287.0130863,78,88
H04,SYBR,,Unkn-26,,31.30844523,140.1382257,82.5,324.2810737,78,88
H05,SYBR,,Unkn-26,,30.37932355,273.8168202,82.5,278.4564363,75,88
H06,SYBR,,Unkn-26,,29.06565326,705.9337463,82.5,244.5180823,78.5,87.5
H07,SYBR,,Unkn-27,,33.74228875,24.23996376,82.5,194.7152367,79,87
H08,SYBR,,Unkn-27,,33.28633658,33.67351013,82.5,222.8139163,79.5,90
H09,SYBR,,Unkn-27,,32.44898719,61.58265892,None,None,None,None
H10,SYBR,,Unkn-28,,30.85662202,194.09765,83,192.4662311,79,88
H11,SYBR,,Unkn-28,,30.77414724,205.9883857,83,191.7452626,79,88
H12,SYBR,,Unkn-28,,31.08975382,164.0694934,82.5,179.8760312,79.5,90
