Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,17.72573782,10000000,82.5,414.849112,76.5,88
A02,SYBR,,Std,,16.58821939,10000000,82.5,465.6624865,77.5,87.5
A03,SYBR,,Std,,14.3635115,10000000,83,439.0233619,74.5,90.5
A04,SYBR,,Std,,26.61642143,10000,82.5,388.8085016,77,87.5
A05,SYBR,,Std,,26.14797589,10000,83,422.8920261,77,87.5
A06,SYBR,,Std,,24.98692025,10000,83,401.0798058,74.5,88.5
A07,SYBR,,Std,,29.16804759,1000,82.5,279.2588274,78,88
A08,SYBR,,Std,,28.91339056,1000,82.5,335.717786,77.5,88
A09,SYBR,,Std,,27.94856555,1000,82.5,362.5052289,76.5,87
A10,SYBR,,NTC,,31.34670745,NaN,82.5,392.312008,67.5,87
A11,SYBR,,NTC,,30.36972676,NaN,82.5,398.7362145,73,87.5
A12,SYBR,,NTC,,29.29166104,NaN,82.5,415.7388264,76.5,88
B01,SYBR,,Unkn-01,,32.49494145,68.52543704,83,255.1867945,79,87.5
B02,SYBR,,Unkn-01,,30.1298189,388.2443696,83,317.1704764,78,89
B03,SYBR,,Unkn-01,,28.3308207,1452.302385,83.5,356.7511106,77.5,88
B04,SYBR,,Unkn-02,,32.29821652,79.15995327,82.5,398.4875515,76,91
B05,SYBR,,Unkn-02,,32.10261812,91.36933496,82.5,398.0327641,77,89
B06,SYBR,,Unkn-02,,31.55195072,136.8293114,82.5,385.3227677,77.5,90.5
B07,SYBR,,Unkn-03,,31.17894674,179.8766891,82.5,390.1425108,76,88.5
B08,SYBR,,Unkn-03,,31.31090652,163.2855774,82.5,390.0781383,76,87.5
B09,SYBR,,Unkn-03,,30.88850302,222.5750727,82.5,371.2804683,67.5,89
B10,SYBR,,Unkn-04,,23.9456286,36196.78047,83,473.6244721,74.5,88.5
B11,SYBR,,Unkn-04,,24.36219377,26668.62739,82.5,442.7898481,67.5,88.5
B12,SYBR,,Unkn-04,,24.40950707,25759.18633,82.5,397.8850154,75.5,87.5
C01,SYBR,,Unkn-05,,17.02576758,5788072.596,83,440.6064778,77,90.5
C02,SYBR,,Unkn-05,,17.71670775,3487230.689,82.5,417.017417,77,88
C03,SYBR,,Unkn-05,,17.0550967,5664911.365,82.5,450.7970373,77,89
C04,SYBR,,Unkn-06,,31.23222424,172.9843698,83,390.8885347,75.5,88
C05,SYBR,,Unkn-06,,30.3395976,332.8848556,83,399.2517783,76,87.5
C06,SYBR,,Unkn-06,,30.03914666,414.9376214,83,375.2882614,77.5,87
C07,SYBR,,Unkn-07,,31.26846292,168.4478333,82.5,400.9243054,67.5,88.5
C08,SYBR,,Unkn-07,,31.03138763,200.4333944,82.5,398.6089129,76.5,91.5
C09,SYBR,,Unkn-07,,30.26207284,352.358232,82.5,412.7161606,76.5,87.5
C10,SYBR,,Unkn-08,,31.98756433,99.41301292,82.5,402.1463487,75,87.5
C11,SYBR,,Unkn-08,,31.43143144,149.472943,82.5,398.0794692,77.5,88
C12,SYBR,,Unkn-08,,30.84332411,230.072799,82.5,399.2394535,73.5,90.5
D01,SYBR,,Unkn-09,,32.94039671,49.42896387,82.5,363.6993841,76.5,87
D02,SYBR,,Unkn-09,,32.4798112,69.28999924,82.5,361.8926288,76,90
D03,SYBR,,Unkn-09,,32.21705959,84.01420086,82.5,349.8932387,76.5,87
D04,SYBR,,Unkn-10,,33.93431605,23.84702691,83,310.2671779,78,88.5
D05,SYBR,,Unkn-10,,32.83388391,53.44463472,82.5,411.5273464,75.5,89
D06,SYBR,,Unkn-10,,32.10526877,91.19190184,82.5,383.6931122,76.5,88
D07,SYBR,,Unkn-11,,30.19929359,368.9594164,82.5,416.2043102,76,88.5
D08,SYBR,,Unkn-11,,30.27580607,348.8274165,82.5,407.7706588,76.5,90.5
D09,SYBR,,Unkn-11,,29.06878393,845.3327117,82.5,413.5378543,76.5,89
D10,SYBR,,Unkn-12,,25.11439098,15361.65457,83.5,393.7069223,76,88
D11,SYBR,,Unkn-12,,23.45072088,52034.3416,83.5,396.3205146,77.5,89
D12,SYBR,,Unkn-12,,22.28975261,121910.1078,83.5,374.0667163,77.5,90.5
E01,SYBR,,Unkn-13,,20.75027189,376998.3687,83,400.2817525,77.5,89.5
E02,SYBR,,Unkn-13,,20.3698725,498299.6001,83,423.1697016,77.5,87.5
E03,SYBR,,Unkn-13,,19.50409658,940212.8695,83,426.1952537,76.5,90.5
E04,SYBR,,Unkn-14,,31.30657293,163.8053204,83,330.9694974,78,89
E05,SYBR,,Unkn-14,,29.25988159,734.7949392,83,352.154433,78,89.5
E06,SYBR,,Unkn-14,,28.06578355,1763.872164,83,312.9733602,78,89.5
E07,SYBR,,Unkn-15,,20.22105479,555759.0897,82.5,432.132367,75,91.5
E08,SYBR,,Unkn-15,,20.04197513,633753.7688,82.5,458.634671,76,90
E09,SYBR,,Unkn-15,,19.34392373,1057398.419,83,448.8412857,74.5,91
E10,SYBR,,Unkn-16,,25.35913971,12837.76659,82.5,425.0783781,75,88
E11,SYBR,,Unkn-16,,24.45734721,24871.14781,82.5,443.9035024,75,88
E12,SYBR,,Unkn-16,,23.29613324,58280.56218,83,451.5250113,76.5,90.5
F01,SYBR,,Unkn-17,,30.5848407,278.0917272,82.5,384.0033217,74,88
F02,SYBR,,Unkn-17,,31.2596316,169.5422965,82.5,378.4063173,76,87.5
F03,SYBR,,Unkn-17,,30.14501196,383.9427057,82.5,396.3893552,73.5,87
F04,SYBR,,Unkn-18,,29.05530431,853.7303462,83,411.7726912,75.5,89
F05,SYBR,,Unkn-18,,27.21797395,3284.587053,83,423.8170452,77,88
F06,SYBR,,Unkn-18,,27.02491637,3784.133927,83,380.1292495,76.5,87.5
F07,SYBR,,Unkn-19,,26.46254436,5715.745818,82.5,405.4249563,67.5,88.5
F08,SYBR,,Unkn-19,,24.82513423,18991.60187,82.5,416.480334,76,89
F09,SYBR,,Unkn-19,,25.49001609,11662.92435,82.5,409.2188024,67.5,89.5
F10,SYBR,,Unkn-20,,19.45279905,976255.7986,82.5,423.5975178,67.5,89
F11,SYBR,,Unkn-20,,18.46119905,2020096.972,83,445.0941313,74,88.5
F12,SYBR,,Unkn-20,,17.68172033,3577862.172,83,438.8595482,75.5,90
G01,SYBR,,Unkn-21,,23.05755507,69423.58335,83.5,395.7847437,76.5,90.5
G02,SYBR,,Unkn-21,,21.95721429,155577.8637,83.5,408.8663952,76,90
G03,SYBR,,Unkn-21,,21.13902137,283484.3174,83.5,403.0488703,76,91
G04,SYBR,,Unkn-22,,32.56607023,65.04268304,83,348.5580869,77.5,88
G05,SYBR,,Unkn-22,,30.15965681,379.8413798,83,308.3657685,78.5,88
G06,SYBR,,Unkn-22,,27.41295068,2846.976199,None,None,None,None
G07,SYBR,,Unkn-23,,19.71373299,806232.6458,82.5,428.0872588,67.5,87.5
G08,SYBR,,Unkn-23,,17.86679657,3123775.483,82.5,465.9767014,76,87.5
G09,SYBR,,Unkn-23,,17.25482165,4893098.35,83,450.609513,75.5,88.5
G10,SYBR,,Unkn-24,,18.77900818,1600129.534,83,432.7742365,76,90
G11,SYBR,,Unkn-24,,15.95736937,12670727.51,83,428.7288241,76.5,88.5
G12,SYBR,,Unkn-24,,15.05568248,24545634.92,83.5,427.1107203,77,88
H01,SYBR,,Unkn-25,,21.53011315,212800.4877,83,388.2334297,75.5,92
H02,SYBR,,Unkn-25,,20.53958797,439986.0429,83,417.4366975,76,89
H03,SYBR,,Unkn-25,,20.75381674,376019.6112,83,408.8847521,76,88
H04,SYBR,,Unkn-26,,22.78879685,84547.77442,84,396.172161,76,89
H05,SYBR,,Unkn-26,,22.86240349,80105.0054,84,397.3940853,75,89
H06,SYBR,,Unkn-26,,22.23189908,127193.5623,84,381.6955958,75.5,90.5
H07,SYBR,,Unkn-27,,24.67509651,21200.50419,82.5,412.0968199,67.5,88
H08,SYBR,,Unkn-27,,25.13500252,15131.2062,82.5,410.1471361,76,92
H09,SYBR,,Unkn-27,,24.27468677,28436.11281,82.5,414.289594,67.5,87
H10,SYBR,,Unkn-28,,18.44065983,2050754.287,83,407.1141468,75.5,87.5
H11,SYBR,,Unkn-28,,18.15557237,2527606.025,83,446.525377,76,88
H12,SYBR,,Unkn-28,,17.77052789,3352276.517,83,356.2775603,75.5,88.5
