Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.54149494,10000000,83,390.1300937,75,88.5
A02,SYBR,,Std,,14.57777523,10000000,83,439.2090868,74.5,89.5
A03,SYBR,,Std,,15.52550732,10000000,83,203.2899894,76.5,88.5
A04,SYBR,,Std,,25.6952714,10000,82.5,388.7095174,75.5,89
A05,SYBR,,Std,,25.88209888,10000,None,None,None,None
A06,SYBR,,Std,,24.85942096,10000,83,404.9439144,75,90.5
A07,SYBR,,Std,,30.04580329,1000,82.5,320.4008027,77,87
A08,SYBR,,Std,,30.24798576,1000,82.5,378.5362507,76,87.5
A09,SYBR,,Std,,28.19388865,1000,83,378.7235377,67.5,87.5
A10,SYBR,,NTC,,33.12474834,NaN,None,None,None,None
A11,SYBR,,NTC,,33.31307114,NaN,83,198.0597589,79,87.5
A12,SYBR,,NTC,,32.39836985,NaN,83,213.8498516,76,87.5
B01,SYBR,,Unkn-01,,21.4579599,182582.3746,82.5,392.0207021,76,88
B02,SYBR,,Unkn-01,,21.28431205,205044.4461,82.5,422.8809443,75.5,87.5
B03,SYBR,,Unkn-01,,18.39423191,1414138.441,82.5,428.5643839,75,88.5
B04,SYBR,,Unkn-02,,28.84894394,1308.404164,83.5,355.5192923,77.5,89.5
B05,SYBR,,Unkn-02,,28.01294352,2287.350166,83.5,380.9185402,74,89
B06,SYBR,,Unkn-02,,28.2550299,1945.736342,84,222.2394822,77.5,88.5
B07,SYBR,,Unkn-03,,25.46459608,12554.87876,83.5,393.6420193,76,88.5
B08,SYBR,,Unkn-03,,23.20828678,56695.51663,83.5,427.5879866,76.5,89
B09,SYBR,,Unkn-03,,22.84313238,72361.78609,None,None,None,None
B10,SYBR,,Unkn-04,,19.19509189,828129.4898,83,254.74637,67.5,87.5
B11,SYBR,,Unkn-04,,18.84998408,1042897.652,83,215.0601343,74.5,88
B12,SYBR,,Unkn-04,,17.90662802,1958776.577,82.5,411.9755258,77.5,87.5
C01,SYBR,,Unkn-05,,22.06608262,121616.8367,83.5,396.9947744,76.5,89.5
C02,SYBR,,Unkn-05,,19.98127052,489739.1352,83.5,414.3230408,76,91
C03,SYBR,,Unkn-05,,19.0270337,926542.6248,83.5,418.584782,75.5,89
C04,SYBR,,Unkn-06,,25.35123206,13542.80146,82.5,413.4550208,76,87.5
C05,SYBR,,Unkn-06,,26.37226747,6845.801342,82.5,420.9040085,67.5,88
C06,SYBR,,Unkn-06,,23.47797325,47346.84591,83,412.6947582,74.5,88
C07,SYBR,,Unkn-07,,21.06013665,238176.6946,83,412.0841879,77,88
C08,SYBR,,Unkn-07,,19.61110366,627162.2217,83,459.1624357,77,90.5
C09,SYBR,,Unkn-07,,18.80857041,1072158.8,83,458.2608469,75.5,87.5
C10,SYBR,,Unkn-08,,26.73766232,5362.829098,82.5,420.5141363,74.5,87.5
C11,SYBR,,Unkn-08,,26.46314946,6442.466124,82.5,419.3380697,76.5,88
C12,SYBR,,Unkn-08,,26.58394399,5942.921112,83,205.5381351,67.5,88.5
D01,SYBR,,Unkn-09,,17.17989551,3183231.752,83,412.8615607,76.5,89.5
D02,SYBR,,Unkn-09,,15.41758111,10333725.8,83,423.5509866,74.5,88
D03,SYBR,,Unkn-09,,15.03041515,13384581.99,83,425.9696061,76.5,92
D04,SYBR,,Unkn-10,,29.01916839,1167.740008,82.5,385.3669281,73,90
D05,SYBR,,Unkn-10,,28.24747808,1955.579063,82.5,414.7735411,73.5,88.5
D06,SYBR,,Unkn-10,,27.44790387,3336.537042,82.5,374.8023022,74,88
D07,SYBR,,Unkn-11,,19.84027094,538121.1863,83,396.9058325,77.5,90.5
D08,SYBR,,Unkn-11,,19.68666279,596285.3344,83,410.2802315,77.5,88
D09,SYBR,,Unkn-11,,19.03066487,924297.3529,83,401.9194584,77.5,88.5
D10,SYBR,,Unkn-12,,30.85245725,343.0536987,82.5,293.9666594,78,88
D11,SYBR,,Unkn-12,,31.50970208,221.1274693,83,367.7040017,78,88
D12,SYBR,,Unkn-12,,31.01494964,307.7584864,83,313.1422,78.5,89.5
E01,SYBR,,Unkn-13,,31.37992989,241.1570777,83,312.1702691,78,88.5
E02,SYBR,,Unkn-13,,30.30628723,494.1397713,83,311.5886918,77.5,88.5
E03,SYBR,,Unkn-13,,29.25514494,997.4024908,83,297.8684747,75,88
E04,SYBR,,Unkn-14,,29.86802973,662.2522501,83,299.833255,78,88.5
E05,SYBR,,Unkn-14,,28.83612462,1319.659325,83,332.2181398,78,90
E06,SYBR,,Unkn-14,,28.39092574,1776.845687,83.5,337.2109807,76,89
E07,SYBR,,Unkn-15,,21.70328275,154978.347,83.5,381.9523765,75,90
E08,SYBR,,Unkn-15,,20.37424318,376644.7683,83.5,435.7472476,75.5,90
E09,SYBR,,Unkn-15,,19.69410422,593327.9033,83.5,403.5612706,67.5,88.5
E10,SYBR,,Unkn-16,,20.28219016,400538.1623,82.5,425.1278817,75.5,87.5
E11,SYBR,,Unkn-16,,17.35095308,2839427.246,83,444.9780275,74.5,87.5
E12,SYBR,,Unkn-16,,17.87269454,2003695.507,83,191.0351564,73.5,88
F01,SYBR,,Unkn-17,,20.60621913,322564.9101,83,398.7025274,75,88.5
F02,SYBR,,Unkn-17,,17.82870282,2063465.671,83,416.1287783,76,88.5
F03,SYBR,,Unkn-17,,16.24045892,5963127.817,83,427.3042799,75,89.5
F04,SYBR,,Unkn-18,,17.91100918,1953050.968,None,None,None,None
F05,SYBR,,Unkn-18,,16.13931021,6380070.363,82.5,426.8989411,67.5,89
