Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
03624e04befc1e9cc7902a57e537201e	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae		
036440cd5123b7394f7cde097588defe	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	
03693f689ab4c401cce5d358e1b6cd6c	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Schmidhempelia	
036e56f6968ff5dc63297402dcf6e4b6	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	
038d2550ce3739266e49d204fd69311e	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae		
038e051227f8f2b6874139a966f1949f	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
039a5bed09bb336c8803454be8ba0d7c	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	
03acf248b0472bb1ff429ed44573ffc6	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae		
03dac699e80ca516c6c0e653c8b446cd	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		
03e115a55fdd2da09719ebdcb86ac590	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
03e19a7a8972a18d236af4c44f8688d8	Bacteria						
03ee0141301d88e8941ce92365167900	Bacteria						
03f62e36408e5f8221106e22a80e71bc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae		
0438a9b577f79507c71c6035c5d6fc59	Bacteria	Kiritimatiellota	Tichowtungiia	Tichowtungiales	Tichowtungiaceae	Tichowtungia	Tichowtungia_aerotolerans
04762d1d9abb56791616be3f56b79deb	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_uniformis
049316ff3381f96c723a632b497a58c0	Bacteria						
0499c983abe77809e120dfd59680ddd6	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
04a18b18a4a1b92a77357142646f1e9f	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		
04aacff9efcc8706c4627d5f2d66f9b3	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	
04c74613b18819d097f15dc4191825fd	Bacteria						
04cda03cdc03321db2604ad9aa491f82	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Bombella	Bombella_sbxid5328
04d900eba5530f20ad3bd8fce1ceaa08	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Chujaibacter	Chujaibacter_soli
04ea08652448e0f1df006387ba787a33	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		
04fe351877ba2378bc8ff64650b2d883	Bacteria	Pseudomonadota	Gammaproteobacteria				
