	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0017	san	W	17	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	54.0		54.0		2017_1	17.0	2017	5.2261853882896485	Allen_Island	Allen_Island	0.0	72	5.153469347388539	0.16036582630570817	0.0006677522966901149	Allen Island Garden7/12/17	0.35415641908509593	0.019347434005574683	0.018691588785046728	0.0	0.5956714215445155	0.0	0.0	0.004099032628299721	0.001147729135923922	0.000983767830791933	0.601901951139531	0.39219544187571737	7/12/23	July	Allen_Island2017	2
B0018	vag	W	18	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	26.0		26.0		2017_1	18.0	2017	5.850969066706829	Allen_Island	Allen_Island	0.0	72	2.571104678629498	0.4884219312880644	-0.1455090405717391	Allen Island Garden7/12/17	0.01905063736882879	0.9228466793436158	0.0008803436861750828	0.0	0.0007042749489400662	0.0	0.0	0.0	0.0	0.00017606873723501656	0.0008803436861750828	0.9427776603986197	7/12/23	July	Allen_Island2017	2
B0019	vag	W	19	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	30.0		30.0		2017_1	19.0	2017	4.56694334547264	Allen_Island	Allen_Island	0.0	72	1.797944229089173	0.02182047788703546	0.21051158292701178	Allen Island Garden7/12/17	0.0007158196134574087	0.0	0.9853799266827183	0.0	0.013275200104119216	0.0	0.0	0.9852280861586517	0.0	0.0	0.9985032862627709	0.9860957462961758	7/12/23	July	Allen_Island2017	2
B0021	bor	W	21	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-18-7	8/3/17	47.0		47.0		2017_1	21.0	2017	2.3358171557413647	Allen_Island	Allen_Island	0.0	72	1.760931744738648	-0.0673912607663299	0.032203579524700855	Allen Island Garden7/12/17	0.5241413526373948	0.0	0.41399995489705255	0.0	0.0	0.010260920551158018	0.05028978643754369	0.41399995489705255	0.5241413526373948	0.0	0.998692014523149	0.9381413075344474	7/12/23	July	Allen_Island2017	2
B0022	bor	W	22	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-18-7	8/3/17	85.0		85.0		2017_1	22.0	2017	2.642512420476405	Allen_Island	Allen_Island	0.0	72	1.196535087622811	-0.03965120478262704	0.09447693226873055	Allen Island Garden7/12/17	0.3880271000703417	0.0	0.6109362852171337	0.0	0.0	0.0	0.0	0.6109362852171337	0.3876198585761356	0.0	0.9985561437932693	0.9989633852874754	7/12/23	July	Allen_Island2017	2
B0025	vag	W	25	7/12/17	JG	Owls neck	Knox	44.0912	-69.0495							2017-18-7	8/3/17	52.0		52.0		2017_1	25.0	2017	4.055338687177784	Owls_Head_ME	Owls_Head_ME	0.0	72	1.477111500084047	0.02151044904884652	0.2100462519324225	Owls neck7/12/17	0.0009224341409153802	0.00018991291136493123	0.9981822621340786	0.0	0.0	0.0	0.0	0.9978024363113487	0.00021704332727420713	0.00027130415909275887	0.9982907837977156	0.9992946091863589	7/12/23	July	Owls_Head_ME2017	3
B0028	bor	W	28	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	2017-20-7	8/3/17	43.0		43.0		2017_1	28.0	2017	9597.177407301118	Allen_Island	Allen_Island	1.0	72	3.383525610644526	-0.030998183339858734	0.10853800294769742	Allen Island Garden7/12/17	0.34558692421991083	0.0016641901931649331	0.6427637444279346	0.0018127786032689451	0.00035661218424962854	0.003922734026745913	0.0	0.6414264487369985	0.33462109955423475	0.00017830609212481427	0.9823179791976224	0.9900148588410104	7/12/23	July	Allen_Island2017	2
B0029	ruf	W	29	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	79.0		79.0		2017_1	29.0	2017	0.0	Colby_College	Colby_College	0.0	82	2.466635392131256	-0.08473335887636044	-0.01370456524267123	Colby Observatory7/22/17	0.7326374094588837	0.002982530890498509	0.2584149978696208	0.0	0.002023860247123988	0.0	0.003302087771623349	0.2584149978696208	0.7050489987217725	0.026949296974861526	0.9957392415850022	0.994034938219003	7/22/23	July	Colby_College2017	4
B0030	bim	W	30	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	97.0		97.0		2017_1	30.0	2017	0.0	Colby_College	Colby_College	0.0	82	1.617742339958242	0.021506019701455777	0.20962742057697953	Colby Observatory7/22/17	0.001939685975049513	0.0	0.9943851195459094	0.0	0.0025726361353288277	0.0	0.0	0.9942421953161689	0.00020417747105784347	0.00044919043632725566	0.9974681993588829	0.9963248055209589	7/22/23	July	Colby_College2017	4
B0031	vag	W	31	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	131.0		131.0		2017_1	31.0	2017	0.0	Colby_College	Colby_College	0.0	82	4.538878047770373	0.1432515585070487	-0.062129451916452326	Colby Observatory7/22/17	0.17433414043583534	0.013720742534301856	0.029661016949152543	0.0	0.0	0.0	0.0	0.011097659402744148	0.002421307506053269	0.0008071025020177562	0.014326069410815172	0.21771589991928975	7/22/23	July	Colby_College2017	4
