	xB0008	xB0014	xB0018	xB0025	xB0040	xB0049	xB0054	xB0057	xB0059	xB0060	xB0067	xB0068	xB0072	xB0075	xB0076	xB0077	xB0078	xB0079	xB0080	xB0081	xB0082	xB0083	xB0084	xB0085	xB0086	xB0087	xB0088	xB0091	xB0092	xB0093	xB0094	xB0095	xB0096	xB0097	xB0101	xB0103	xB0104	xB0105	xB0106	xB0107	xB0108	xB0109	xB0110	xB0111	xB0115	xB0120	xB0123	xB0124	xB0125	xB0126	xB0127	xB0128	xB0129	xB0131	xB0140	xB0141	xB0142	xB0143	xB0144	xB0145	xB0150	xB0153	xB0161	xB0162	xB0163	xB0166	xB0167	xB0168	xB0169	x11	x12	x124	x142	x15	x16	x17	x180	x192	x194	x2	x22	x226	x243	x260	x3	x30	x32	x39	x4	x43	x51	x56	x59	x67	x71	x75	x83	x86	x91	x99	xDRA190718_002	xDRA190824_003	xDRA190824_004	xDRA190824_005	xFJ190809_001	xFJ190809_002	xFJ190809_003	xFJ190809_004	xFJ190809_005	xFJ190809_006	xFJ190809_007	xFJ190809_008	xFJ190809_009	xFJ190809_010	xFJ190809_011	xFJ190809_012	xFJ190809_014	xFJ190814_006	xFJ190815_002	xFJ190815_004	xFJ190822_001	xFJ190822_003	xFJ190822_006	xFJ190822_008	xFJ190827_001	xFJ190827_009	xFJ190827_012	xFJ190827_017	xFJ190827_021	xFJ190828_001	xFJ190828_002	xFJ190828_003	xFJ190828_004	xFJ190905_003	xJ190705_006	xJL190628_005	xJL190703_013	xJL190724_005	xJL190806_001	xJL190806_007	xJL190809_001	xJL190809_002	xJL190809_004	xJL190809_006	xJL190809_011	xJL190809_012	xJL190910_001	xPF190709_008	xPF190724_003
xB0008	0.0	0.004742984659969807	0.003536528209224343	0.004314268939197063	0.01524187717586756	0.00705310981720686	0.001926087308675051	0.005131291691213846	0.01025007665157318	0.004314268939197063	0.002159943338483572	0.006259452551603317	0.01258361246436834	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01490898430347443	0.01034263148903847	0.01025007665157318	0.01059196330606937	0.01025007665157318	0.01025007665157318	0.0104156257584691	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.008139480836689472	0.01025007665157318	0.01025007665157318	0.01025118958204985	0.01025007665157318	0.01524187717586756	0.004314268939197063	0.01020070537924767	0.01025007665157318	0.01524187717586756	0.01524187717586756	0.01025007665157318	0.00420622993260622	0.005571240093559027	0.01025007665157318	0.01025007665157318	0.01352784503251314	0.01524187717586756	0.007330389227718115	0.0102078951895237	0.01036827452480793	0.01023881044238806	0.009604549035429955	0.007899990305304527	0.01025007665157318	0.006259452551603317	0.0175393708050251	0.01249386090785265	0.01524187717586756	0.01025007665157318	0.01524187717586756	0.01071969978511333	0.01524187717586756	0.009914322756230831	0.01524187717586756	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01524187717586756	0.01524187717586756	0.002466518199071288	0.004177097231149673	0.01304424088448286	0.01028500124812126	0.01506168209016323	0.01025007665157318	0.006259452551603317	0.004461034666746855	0.01396473590284586	0.01025007665157318	0.003860486671328545	0.006259452551603317	0.007330389227718115	0.01430611032992601	0.01524187717586756	0.01524187717586756	0.01025007665157318	0.01025007665157318	0.01320313382893801	0.007330389227718115	0.006442494690418243	0.01111159380525351	0.01025007665157318	0.009835886768996716	0.01025007665157318	0.01389524061232805	0.0120516000315547	0.007330389227718115	0.01025007665157318	0.00649091973900795	0.01524187717586756	0.01524187717586756	0.01200113631784916	0.01524187717586756	0.01025007665157318	0.01400716509670019	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.008696665987372398	0.01025007665157318	0.01025007665157318	0.004895146936178207	0.01025007665157318	0.01717981696128845	0.01524187717586756	0.01524187717586756	0.01661523245275021	0.01589167863130569	0.01474864035844803	0.01520869880914688	0.02334769442677498	0.02334769442677498	0.01011300925165415	0.01524187717586756	0.02334769442677498	0.01524187717586756	0.01448324043303728	0.01797716319561005	0.01524187717586756	0.01524187717586756	0.004314268939197063	0.0004057764890603721	0.006259452551603317	0.02334769442677498	0.01025007665157318	0.01524187717586756	0.01025007665157318	0.01025007665157318	0.01025007665157318	0.01025234162807465	0.001655972795560956	0.01025007665157318	0.01524187717586756	0.002694369526579976	0.02334769442677498
xB0014	0.004742984659969807	0.0	0.003697922918945551	0.002579547930508852	0.01049890741705894	0.005318391136825085	0.005034979898482561	0.007806118577718735	0.007869012653827667	0.002579547930508852	0.005728337913751602	0.007787816226482391	0.009673843160271645	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.0102400304749608	0.007961567491292953	0.007869012653827667	0.00821089930832386	0.007869012653827667	0.007869012653827667	0.008034562692046165	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.00785264652222395	0.007869012653827667	0.007869012653827667	0.007870125584304333	0.007869012653827667	0.01049890741705894	0.002579547930508852	0.007819641381502151	0.007869012653827667	0.01049890741705894	0.01049890741705894	0.007869012653827667	0.003690938232466578	0.005987821146845818	0.007869012653827667	0.007869012653827667	0.008784874342381954	0.01049890741705894	0.002587418770417571	0.007826831191778183	0.007987210527062416	0.007857746444642544	0.007223485037684441	0.007505669724196196	0.007869012653827667	0.007787816226482391	0.01279640011489391	0.007750891614705324	0.01049890741705894	0.007869012653827667	0.01049890741705894	0.008338636718690395	0.01049890741705894	0.005171352997422218	0.01049890741705894	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.01049890741705894	0.01049890741705894	0.005882352124899626	0.006741699762642384	0.008301271125674248	0.007903937250375748	0.01058481261134148	0.007869012653827667	0.007787816226482391	0.00688434112817049	0.009221767075359821	0.007869012653827667	0.006582642439752817	0.007787816226482391	0.002587418770417571	0.009563138708472252	0.01049890741705894	0.01049890741705894	0.007869012653827667	0.007869012653827667	0.008460164070129395	0.002587418770417571	0.004061426036059856	0.008730530738830566	0.007869012653827667	0.00509291747584939	0.007869012653827667	0.00915227085351944	0.008589956909418106	0.002587418770417571	0.007869012653827667	0.005844336468726397	0.01049890741705894	0.01049890741705894	0.00947783887386322	0.01049890741705894	0.007869012653827667	0.01015286892652512	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.006315602920949459	0.007869012653827667	0.007869012653827667	0.006981632672250271	0.007869012653827667	0.01243684627115726	0.01049890741705894	0.01049890741705894	0.01362944021821022	0.01114870794117451	0.01000566966831684	0.01046572905033827	0.02096663229167461	0.02096663229167461	0.007731945253908634	0.01049890741705894	0.02096663229167461	0.01049890741705894	0.009740270674228668	0.01559609919786453	0.01049890741705894	0.01049890741705894	0.002579547930508852	0.004847093019634485	0.007787816226482391	0.02096663229167461	0.007869012653827667	0.01049890741705894	0.007869012653827667	0.007869012653827667	0.007869012653827667	0.007871277630329132	0.003915001172572374	0.007869012653827667	0.01049890741705894	0.00339333969168365	0.02096663229167461
xB0018	0.003536528209224343	0.003697922918945551	0.0	0.003697622800245881	0.01171864476054907	0.004295007325708866	0.00372107932344079	0.006091573275625706	0.01078666746616364	0.003697622800245881	0.005061689298599958	0.009161198511719704	0.01011332497000694	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01143537741154432	0.01084895897656679	0.01078666746616364	0.009677511639893055	0.01078666746616364	0.01078666746616364	0.009848147630691528	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.009226028807461262	0.01078666746616364	0.01078666746616364	0.01077889371663332	0.01078666746616364	0.01171864476054907	0.003697622800245881	0.01073729712516069	0.01078666746616364	0.01171864476054907	0.01171864476054907	0.01078666746616364	0.004121639300137758	0.006107829976826906	0.01078666746616364	0.01078666746616364	0.01000460796058178	0.01171864476054907	0.004585468210279942	0.008266311138868332	0.00996114406734705	0.01076436135917902	0.00950866099447012	0.008099968545138836	0.01078666746616364	0.009161198511719704	0.01401613838970661	0.009748944081366062	0.01171864476054907	0.01078666746616364	0.01171864476054907	0.009553900919854641	0.01171864476054907	0.007169404998421669	0.01171864476054907	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01171864476054907	0.01171864476054907	0.005368263926357031	0.00707884319126606	0.009521002881228924	0.01009098719805479	0.01171686500310898	0.01078666746616364	0.009161198511719704	0.007362780161201954	0.0104415025562048	0.01078666746616364	0.006762232165783644	0.009161198511719704	0.004585468210279942	0.01078287418931723	0.01171864476054907	0.01171864476054907	0.01078666746616364	0.01078666746616364	0.009679896757006645	0.004585468210279942	0.00697908503934741	0.009174673818051815	0.01078666746616364	0.006312647834420204	0.01078666746616364	0.01037200447171926	0.008528264239430428	0.004585468210279942	0.01078666746616364	0.005496721249073744	0.01171864476054907	0.01171864476054907	0.009917320683598518	0.01171864476054907	0.01078666746616364	0.01069029793143272	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.007711251731961966	0.01078666746616364	0.01078666746616364	0.00800325907766819	0.01078666746616364	0.01365658361464739	0.01171864476054907	0.01171864476054907	0.01406892295926809	0.01236844528466463	0.01122540701180696	0.01168546639382839	0.02388428524136543	0.02388428524136543	0.00869793351739645	0.01171864476054907	0.02388428524136543	0.01171864476054907	0.01096000708639622	0.01603557914495468	0.01171864476054907	0.01171864476054907	0.003697622800245881	0.003640637267380953	0.009161198511719704	0.02388428524136543	0.01078666746616364	0.01171864476054907	0.01078666746616364	0.01078666746616364	0.01078666746616364	0.01077084708958864	0.002708547282963991	0.01078666746616364	0.01171864476054907	0.002186886733397841	0.02388428524136543
xB0025	0.004314268939197063	0.002579547930508852	0.003697622800245881	0.0	0.01307844556868076	0.004084691405296326	0.006033988669514656	0.009239193052053452	0.01044855080544949	0.0	0.006267844699323177	0.01036735437810421	0.01225338038057089	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01281956862658262	0.0105411047115922	0.01044855080544949	0.01079043745994568	0.01044855080544949	0.01044855080544949	0.01061409991234541	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01043218467384577	0.01044855080544949	0.01044855080544949	0.01044966373592615	0.01044855080544949	0.01307844556868076	0.0	0.01039917953312397	0.01044855080544949	0.01307844556868076	0.01307844556868076	0.01044855080544949	0.006270476616919041	0.006779491901397705	0.01044855080544949	0.01044855080544949	0.01136441249400377	0.01307844556868076	0.005166957154870033	0.0104063693434	0.01056674867868423	0.01043728459626436	0.00980302318930626	0.009799215942621231	0.01044855080544949	0.01036735437810421	0.01537593826651573	0.01033042930066586	0.01307844556868076	0.01044855080544949	0.01307844556868076	0.01091817487031221	0.01307844556868076	0.00775089068338275	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01307844556868076	0.01307844556868076	0.006574419792741537	0.008284999057650566	0.01088080927729607	0.01048347540199757	0.01316435076296329	0.01044855080544949	0.01036735437810421	0.00856893602758646	0.01180130522698164	0.01044855080544949	0.007968387566506863	0.01036735437810421	0.005166957154870033	0.01214267686009407	0.01307844556868076	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01103970222175121	0.005166957154870033	0.006640968844294548	0.01131006889045238	0.01044855080544949	0.007672455627471209	0.01044855080544949	0.01173180900514126	0.01116949506103992	0.005166957154870033	0.01044855080544949	0.008423874154686928	0.01307844556868076	0.01307844556868076	0.01205737702548504	0.01307844556868076	0.01044855080544949	0.01273240707814693	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.008895140141248703	0.01044855080544949	0.01044855080544949	0.009209414944052696	0.01044855080544949	0.01501638442277908	0.01307844556868076	0.01307844556868076	0.01620897836983204	0.01372824609279633	0.01258520781993866	0.01304526720196009	0.02354617044329643	0.02354617044329643	0.01031148433685303	0.01307844556868076	0.02354617044329643	0.01307844556868076	0.01231980882585049	0.0181756354868412	0.01307844556868076	0.01307844556868076	0.0	0.004513677675276995	0.01036735437810421	0.02354617044329643	0.01044855080544949	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01045081578195095	0.002658296143636107	0.01044855080544949	0.01307844556868076	0.001619899063371122	0.02354617044329643
xB0040	0.01524187717586756	0.01049890741705894	0.01171864476054907	0.01307844556868076	0.0	0.01033960189670324	0.01442712172865868	0.01363883446902037	0.01836789958178997	0.01307844556868076	0.0162272285670042	0.01828670315444469	0.005762477871030569	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.0003328941238578409	0.01843019761145115	0.01836789958178997	0.01598007418215275	0.01836789958178997	0.01836789958178997	0.01721205376088619	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01835153251886368	0.01836789958178997	0.01836789958178997	0.01836012676358223	0.01836789958178997	0.0	0.01307844556868076	0.0183185301721096	0.01836789958178997	0.0	0.0	0.01836789958178997	0.01119389105588198	0.01648671180009842	0.01836789958178997	0.01836789958178997	0.001714036334306002	0.0	0.007911507971584797	0.01230279728770256	0.01754237711429596	0.01834559440612793	0.01708989590406418	0.01751146651804447	0.01836789958178997	0.01828670315444469	0.002297511789947748	0.01307498104870319	0.0	0.01836789958178997	0.0	0.01508791651576757	0.0	0.0104954419657588	0.0	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.0	0.0	0.01638124324381351	0.01724058948457241	0.002197641413658857	0.0176722202450037	0.001205336069688201	0.01836789958178997	0.01828670315444469	0.01738323085010052	0.002518471796065569	0.01836789958178997	0.01708153262734413	0.01828670315444469	0.007911507971584797	0.0009357698727399111	0.0	0.0	0.01836789958178997	0.01836789958178997	0.00203874777071178	0.007911507971584797	0.01456032413989305	0.01235083024948835	0.01836789958178997	0.005406003445386887	0.01836789958178997	0.001346639590337873	0.003892516950145364	0.007911507971584797	0.01836789958178997	0.01124780811369419	0.0	0.0	0.007131419144570827	0.0	0.01836789958178997	0.002416828647255898	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.01529248990118504	0.01836789958178997	0.01836789958178997	0.0174805223941803	0.01836789958178997	0.001937954220920801	0.0	0.0	0.009410249069333076	0.001124497503042221	0.0004932370502501726	3.317779555800371e-05	0.03146551921963692	0.03146551921963692	0.01493649929761887	0.0	0.03146551921963692	0.0	0.000758637732360512	0.01579787209630013	0.0	0.0	0.01307844556868076	0.01534598600119352	0.01828670315444469	0.03146551921963692	0.01836789958178997	0.0	0.01836789958178997	0.01836789958178997	0.01836789958178997	0.0183520782738924	0.01441389694809914	0.01836789958178997	0.0	0.01389223616570234	0.03146551921963692
xB0049	0.00705310981720686	0.005318391136825085	0.004295007325708866	0.004084691405296326	0.01033960189670324	0.0	0.007666079793125391	0.006165395490825176	0.01318739168345928	0.004084691405296326	0.009006685577332973	0.01310619339346886	0.009514538571238518	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01008072681725025	0.01324969064444304	0.01318739168345928	0.01079956628382206	0.01318739168345928	0.01318739168345928	0.0120315458625555	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01317102555185556	0.01318739168345928	0.01318739168345928	0.01317961700260639	0.01318739168345928	0.01033960189670324	0.004084691405296326	0.01313802041113377	0.01318739168345928	0.01033960189670324	0.01033960189670324	0.01318739168345928	0.007659369148313999	0.009518332779407501	0.01318739168345928	0.01318739168345928	0.008625570684671402	0.01033960189670324	0.006555850151926279	0.007780475076287985	0.0123618682846427	0.01316508557647467	0.01190938800573349	0.01204496435821056	0.01318739168345928	0.01310619339346886	0.01263709738850594	0.01171932183206081	0.01033960189670324	0.01318739168345928	0.01033960189670324	0.009907410480082035	0.01033960189670324	0.009139783680438995	0.01033960189670324	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01033960189670324	0.01033960189670324	0.009313260205090046	0.01102383993566036	0.008141966536641121	0.01249171234667301	0.01042550802230835	0.01318739168345928	0.01310619339346886	0.01130777597427368	0.009062463417649269	0.01318739168345928	0.01070722751319408	0.01310619339346886	0.006555850151926279	0.0094038350507617	0.01033960189670324	0.01033960189670324	0.01318739168345928	0.01318739168345928	0.008300859481096268	0.006555850151926279	0.00937980879098177	0.00857122614979744	0.01318739168345928	0.004933612421154976	0.01318739168345928	0.008992966264486313	0.008430653251707554	0.006555850151926279	0.01318739168345928	0.007857116870582104	0.01033960189670324	0.01033960189670324	0.009318535216152668	0.01033960189670324	0.01318739168345928	0.00999356433749199	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01028403267264366	0.01318739168345928	0.01318739168345928	0.01194825489073992	0.01318739168345928	0.01227754168212414	0.01033960189670324	0.01033960189670324	0.01347013749182224	0.01098940335214138	0.009846366010606289	0.01030642539262772	0.02628501132130623	0.02628501132130623	0.009755991399288177	0.01033960189670324	0.02628501132130623	0.01033960189670324	0.009580966085195541	0.01543679460883141	0.01033960189670324	0.01033960189670324	0.004084691405296326	0.007252518087625504	0.01310619339346886	0.02628501132130623	0.01318739168345928	0.01033960189670324	0.01318739168345928	0.01318739168345928	0.01318739168345928	0.01317157037556171	0.005420142784714699	0.01318739168345928	0.01033960189670324	0.004898482002317905	0.02628501132130623
xB0054	0.001926087308675051	0.005034979898482561	0.00372107932344079	0.006033988669514656	0.01442712172865868	0.007666079793125391	0.0	0.003205209039151669	0.01044609490782022	0.006033988669514656	0.001800111611373723	0.005440118722617626	0.01197522412985563	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01414385810494423	0.01053119264543056	0.01044609490782022	0.0101152565330267	0.01044609490782022	0.01044609490782022	0.01028599310666323	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.008335499092936516	0.01044609490782022	0.01044609490782022	0.01044501736760139	0.01044609490782022	0.01442712172865868	0.006033988669514656	0.01039672363549471	0.01044609490782022	0.01442712172865868	0.01442712172865868	0.01044609490782022	0.003233242779970169	0.005974596366286278	0.01044609490782022	0.01044609490782022	0.01271308492869139	0.01442712172865868	0.006515628192573786	0.009297160431742668	0.01033171638846397	0.01042378973215818	0.009168088436126709	0.007899317890405655	0.01044609490782022	0.005440118722617626	0.01672461628913879	0.01167910359799862	0.01442712172865868	0.01044609490782022	0.01442712172865868	0.00999164767563343	0.01442712172865868	0.0090995654463768	0.01442712172865868	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01442712172865868	0.01442712172865868	0.001954125938937068	0.003357762703672051	0.01222948171198368	0.01026375591754913	0.01442534849047661	0.01044609490782022	0.005440118722617626	0.003641700139269233	0.0131499795243144	0.01044609490782022	0.003041152376681566	0.005440118722617626	0.006515628192573786	0.01349135115742683	0.01442712172865868	0.01442712172865868	0.01044609490782022	0.01044609490782022	0.01238837465643883	0.006515628192573786	0.006638513877987862	0.01020086277276278	0.01044609490782022	0.009021126665174961	0.01044609490782022	0.01308048143982887	0.01123684179037809	0.006515628192573786	0.01044609490782022	0.005676161032170057	0.01442712172865868	0.01442712172865868	0.01139274798333645	0.01442712172865868	0.01044609490782022	0.01339877769351006	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.00778593122959137	0.01044609490782022	0.01044609490782022	0.0042821797542274	0.01044609490782022	0.016365060582757	0.01442712172865868	0.01442712172865868	0.0160068441182375	0.01507692225277424	0.01393388397991657	0.014393943361938	0.02354371547698975	0.02354371547698975	0.009202276356518269	0.01442712172865868	0.02354371547698975	0.01442712172865868	0.01366848312318325	0.01706643030047417	0.01442712172865868	0.01442712172865868	0.006033988669514656	0.001520310644991696	0.005440118722617626	0.02354371547698975	0.01044609490782022	0.01442712172865868	0.01044609490782022	0.01044609490782022	0.01044609490782022	0.01044390257447958	0.003375692293047905	0.01044609490782022	0.01442712172865868	0.004414089489728212	0.02354371547698975
xB0057	0.005131291691213846	0.007806118577718735	0.006091573275625706	0.009239193052053452	0.01363883446902037	0.006165395490825176	0.003205209039151669	0.0	0.01279426366090775	0.009239193052053452	0.003734858706593513	0.006940798833966255	0.01118693687021732	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01335557084530592	0.0128565626218915	0.01279426366090775	0.01040643826127052	0.01279426366090775	0.01279426366090775	0.01163841877132654	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01068366784602404	0.01279426366090775	0.01279426366090775	0.01278648991137743	0.01279426366090775	0.01363883446902037	0.009239193052053452	0.01274489238858223	0.01279426366090775	0.01363883446902037	0.01363883446902037	0.01279426366090775	0.005961178801953793	0.008756832219660282	0.01279426366090775	0.01279426366090775	0.01192480232566595	0.01363883446902037	0.009243564680218697	0.008085908368229866	0.01196874119341373	0.0127719584852457	0.01151626091450453	0.009951086714863777	0.01279426366090775	0.006940798833966255	0.01593632996082306	0.01440703682601452	0.01363883446902037	0.01279426366090775	0.01363883446902037	0.009514283388853073	0.01363883446902037	0.01182749960571527	0.01363883446902037	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01363883446902037	0.01363883446902037	0.003888872684910893	0.004858443513512611	0.01144119817763567	0.01209858432412148	0.01363706216216087	0.01279426366090775	0.006940798833966255	0.005142380483448505	0.01236169412732124	0.01279426366090775	0.004589161835610867	0.006940798833966255	0.009243564680218697	0.01270306669175625	0.01363883446902037	0.01363883446902037	0.01279426366090775	0.01279426366090775	0.01160009112209082	0.009243564680218697	0.00919113215059042	0.0089896060526371	0.01279426366090775	0.008232844062149525	0.01279426366090775	0.01229219883680344	0.01044855732470751	0.009243564680218697	0.01279426366090775	0.006448444444686174	0.01363883446902037	0.01363883446902037	0.01060446072369814	0.01363883446902037	0.01279426366090775	0.01261048950254917	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.0100908987224102	0.01279426366090775	0.01279426366090775	0.005782859865576029	0.01279426366090775	0.01557677332311869	0.01363883446902037	0.01363883446902037	0.01521855592727661	0.0142886359244585	0.01314559765160084	0.01360565703362226	0.02589188516139984	0.02589188516139984	0.009386254474520683	0.01363883446902037	0.02589188516139984	0.01363883446902037	0.01288019865751266	0.01615210995078087	0.01363883446902037	0.01363883446902037	0.009239193052053452	0.004725515842437744	0.006940798833966255	0.02589188516139984	0.01279426366090775	0.01363883446902037	0.01279426366090775	0.01279426366090775	0.01279426366090775	0.01277844235301018	0.006580897141247988	0.01279426366090775	0.01363883446902037	0.007619294337928295	0.02589188516139984
xB0059	0.01025007665157318	0.007869012653827667	0.01078666746616364	0.01044855080544949	0.01836789958178997	0.01318739168345928	0.01044609490782022	0.01279426366090775	0.0	0.01044855080544949	0.01046229153871536	0.0104712788015604	0.01260542217642069	0.0	0.0	0.0	0.01803500764071941	0.0001152318582171574	0.0	0.002387827029451728	0.0	0.0	0.001155944308266044	0.0	0.0	0.0	0.0	0.002110595814883709	0.0	0.0	7.773785000608768e-06	0.0	0.01836789958178997	0.01044855080544949	4.937122139381245e-05	0.0	0.01836789958178997	0.01836789958178997	0.0	0.00937655009329319	0.004678837023675442	0.0	0.0	0.01665386743843555	0.01836789958178997	0.01045641209930182	0.006065104156732559	0.0008255236316472292	2.230569043604191e-05	0.001278005889616907	0.002843177411705256	0.0	0.0104712788015604	0.02066539414227009	0.01561988424509764	0.01836789958178997	0.0	0.01836789958178997	0.003279982134699821	0.01836789958178997	0.01304034609347582	0.01836789958178997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01836789958178997	0.01836789958178997	0.01046296395361423	0.01046671345829964	0.01617026329040527	0.000695680093485862	0.01818770356476307	0.0	0.0104712788015604	0.01046733651310205	0.01709076017141342	0.0	0.01046601869165897	0.0104712788015604	0.01045641209930182	0.01743213273584843	0.01836789958178997	0.01836789958178997	0.0	0.0	0.01632915809750557	0.01045641209930182	0.003807586850598454	0.006017070729285479	0.0	0.0129619101062417	0.0	0.01702126488089561	0.01603236235678196	0.01045641209930182	0.0	0.01167407631874084	0.01836789958178997	0.01836789958178997	0.01123648043721914	0.01836789958178997	0.0	0.01595107279717922	0.0	0.0	0.0	0.0	0.0	0.003075415268540382	0.0	0.0	0.007614868693053722	0.0	0.02030584029853344	0.01836789958178997	0.01836789958178997	0.01679174415767193	0.01901770196855068	0.01787466369569302	0.01833472214639187	0.01309762895107269	0.01309762895107269	0.003431403078138828	0.01836789958178997	0.01309762895107269	0.01836789958178997	0.01760926470160484	0.01562295109033585	0.01836789958178997	0.01836789958178997	0.01044855080544949	0.01045844610780478	0.0104712788015604	0.01309762895107269	0.0	0.01836789958178997	0.0	0.0	0.0	1.582075856276788e-05	0.01045437902212143	0.0	0.01836789958178997	0.01045210286974907	0.01309762895107269
xB0060	0.004314268939197063	0.002579547930508852	0.003697622800245881	0.0	0.01307844556868076	0.004084691405296326	0.006033988669514656	0.009239193052053452	0.01044855080544949	0.0	0.006267844699323177	0.01036735437810421	0.01225338038057089	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01281956862658262	0.0105411047115922	0.01044855080544949	0.01079043745994568	0.01044855080544949	0.01044855080544949	0.01061409991234541	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01043218467384577	0.01044855080544949	0.01044855080544949	0.01044966373592615	0.01044855080544949	0.01307844556868076	0.0	0.01039917953312397	0.01044855080544949	0.01307844556868076	0.01307844556868076	0.01044855080544949	0.006270476616919041	0.006779491901397705	0.01044855080544949	0.01044855080544949	0.01136441249400377	0.01307844556868076	0.005166957154870033	0.0104063693434	0.01056674867868423	0.01043728459626436	0.00980302318930626	0.009799215942621231	0.01044855080544949	0.01036735437810421	0.01537593826651573	0.01033042930066586	0.01307844556868076	0.01044855080544949	0.01307844556868076	0.01091817487031221	0.01307844556868076	0.00775089068338275	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01307844556868076	0.01307844556868076	0.006574419792741537	0.008284999057650566	0.01088080927729607	0.01048347540199757	0.01316435076296329	0.01044855080544949	0.01036735437810421	0.00856893602758646	0.01180130522698164	0.01044855080544949	0.007968387566506863	0.01036735437810421	0.005166957154870033	0.01214267686009407	0.01307844556868076	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01103970222175121	0.005166957154870033	0.006640968844294548	0.01131006889045238	0.01044855080544949	0.007672455627471209	0.01044855080544949	0.01173180900514126	0.01116949506103992	0.005166957154870033	0.01044855080544949	0.008423874154686928	0.01307844556868076	0.01307844556868076	0.01205737702548504	0.01307844556868076	0.01044855080544949	0.01273240707814693	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.008895140141248703	0.01044855080544949	0.01044855080544949	0.009209414944052696	0.01044855080544949	0.01501638442277908	0.01307844556868076	0.01307844556868076	0.01620897836983204	0.01372824609279633	0.01258520781993866	0.01304526720196009	0.02354617044329643	0.02354617044329643	0.01031148433685303	0.01307844556868076	0.02354617044329643	0.01307844556868076	0.01231980882585049	0.0181756354868412	0.01307844556868076	0.01307844556868076	0.0	0.004513677675276995	0.01036735437810421	0.02354617044329643	0.01044855080544949	0.01307844556868076	0.01044855080544949	0.01044855080544949	0.01044855080544949	0.01045081578195095	0.002658296143636107	0.01044855080544949	0.01307844556868076	0.001619899063371122	0.02354617044329643
