	xB0004	xB0028	xB0068	xB0083	xB0104	xB0108	xB0109	xB0110	xB0115	xB0118	xB0124	xB0127	xB0135	xB0154	x126	x132	x133	x138	x158	x17	x21	x216	x221	x229	x282	x283	x41	x5	x54	x77	x90	x93	x98	xDRA190824_001	xFJ190610_001	xFJ190610_012	xFJ190610_013	xFJ190610_027	xFJ190612_001	xFJ190612_003	xFJ190619_003	xFJ190619_005	xFJ190621_002	xFJ190628_011	xFJ190628_013	xFJ190703_012	xFJ190809_007	xFJ190809_011	xFJ190809_013	xFJ190814_003	xFJ190822_001	xFJ190822_002	xFJ190822_003	xFJ190905_003	xJL190610_041	xJL190619_001	xJL190619_002	xJL190619_009	xJL190619_010	xJL190703_006	xJL190724_004	xJL190809_003	xJL190905_001	xMY190522_001	xMY190522_006	xMY190529_002	xMY190612_001	xMY190619_002
xB0004	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
xB0028	0.06798215955495834	0.0	0.04088082537055016	0.01769264787435532	0.07621818780899048	0.07621818780899048	0.01017507072538137	0.04703736305236816	0.002521010814234614	0.0279487743973732	0.01517585478723049	0.01769326440989971	0.0	0.02799547091126442	0.06798215955495834	0.06474052369594574	0.06798215955495834	0.06798215955495834	0.06798215955495834	0.01013272348791361	0.06798215955495834	0.02033126354217529	0.0	0.02263765223324299	0.01266066450625658	0.01266066450625658	0.02311933599412441	0.06798215955495834	0.01517585478723049	0.06798215955495834	0.06224589049816132	0.06798215955495834	0.06798215955495834	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03772496059536934	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.02929272130131721	0.03048758208751678	0.03048758208751678	0.01769264787435532	0.01517580635845661	0.04289143159985542	0.07621818780899048	0.04372764378786087	0.03048758208751678	0.07013258337974548	0.01517585478723049	0.07621818780899048	0.01769326440989971	0.04584312438964844	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.02607950940728188	0.01011850591748953	0.01769264787435532	0.08179871737957001	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678
xB0068	0.07851128280162811	0.04088082537055016	0.0	0.03326029703021049	0.08674731850624084	0.08674731850624084	0.04092587158083916	0.00615654606372118	0.03835982829332352	0.05364036932587624	0.02570498734712601	0.02318757586181164	0.04088082537055016	0.05368706583976746	0.07851128280162811	0.07539373636245728	0.07851128280162811	0.07851128280162811	0.07851128280162811	0.03074811957776546	0.07851128280162811	0.04602285847067833	0.04088082537055016	0.03772322088479996	0.03835225850343704	0.03835225850343704	0.01776150986552238	0.07851128280162811	0.02570498734712601	0.07851128280162811	0.07277499884366989	0.07851128280162811	0.07851128280162811	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.06114218756556511	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05498431622982025	0.05617917701601982	0.05617917701601982	0.03326029703021049	0.03074345737695694	0.05973824858665466	0.08674731850624084	0.002846830058842897	0.05617917701601982	0.08066171407699585	0.02570498734712601	0.08674731850624084	0.02318757586181164	0.07153472304344177	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05177110433578491	0.03581009060144424	0.03326029703021049	0.09232783317565918	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05617917701601982	0.05617917701601982
xB0083	0.06036162376403809	0.01769264787435532	0.03326029703021049	0.0	0.06859765201807022	0.06859765201807022	0.01773769222199917	0.0394168309867382	0.01517164707183838	0.0304521881043911	0.007555321324616671	0.0100727304816246	0.01769264787435532	0.03049888834357262	0.06036162376403809	0.05687190964818001	0.06036162376403809	0.06036162376403809	0.06036162376403809	0.007559935562312603	0.06036162376403809	0.02283467911183834	0.01769264787435532	0.02080222964286804	0.01516407914459705	0.01516407914459705	0.01549880113452673	0.06036162376403809	0.007555321324616671	0.06036162376403809	0.05462535470724106	0.06036162376403809	0.06036162376403809	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03870978578925133	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03179613873362541	0.03299099951982498	0.03299099951982498	0.0	0.002516850829124451	0.03948920965194702	0.06859765201807022	0.03610711544752121	0.03299099951982498	0.06251205503940582	0.007555321324616671	0.06859765201807022	0.0100727304816246	0.04834653437137604	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.02858292683959007	0.01262190937995911	0.0	0.07417817413806915	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03299099951982498	0.03299099951982498
xB0104	0.09740132838487625	0.07621818780899048	0.08674731850624084	0.06859765201807022	0.0	0.0	0.07626323401927948	0.09290385246276855	0.07369718700647354	0.08897773921489716	0.06104233860969543	0.06355974078178406	0.07621818780899048	0.08902443945407867	0.09740132838487625	0.09468889981508255	0.09740132838487625	0.09740132838487625	0.09740132838487625	0.06608547270298004	0.09740132838487625	0.08136022835969925	0.07621818780899048	0.07716840505599976	0.07368961721658707	0.07368961721658707	0.06898581981658936	0.09740132838487625	0.06104233860969543	0.09740132838487625	0.03249164670705795	0.09740132838487625	0.09740132838487625	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.07816684246063232	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09032168984413147	0.09151654690504074	0.09151654690504074	0.06859765201807022	0.06608080863952637	0.08548134565353394	0.0	0.08959413319826126	0.09151654690504074	0.01389946229755878	0.06104233860969543	0.0	0.06355974078178406	0.1068720817565918	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.08710847795009613	0.07114744931459427	0.06859765201807022	0.04131119698286057	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074
xB0108	0.09740132838487625	0.07621818780899048	0.08674731850624084	0.06859765201807022	0.0	0.0	0.07626323401927948	0.09290385246276855	0.07369718700647354	0.08897773921489716	0.06104233860969543	0.06355974078178406	0.07621818780899048	0.08902443945407867	0.09740132838487625	0.09468889981508255	0.09740132838487625	0.09740132838487625	0.09740132838487625	0.06608547270298004	0.09740132838487625	0.08136022835969925	0.07621818780899048	0.07716840505599976	0.07368961721658707	0.07368961721658707	0.06898581981658936	0.09740132838487625	0.06104233860969543	0.09740132838487625	0.03249164670705795	0.09740132838487625	0.09740132838487625	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.07816684246063232	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09032168984413147	0.09151654690504074	0.09151654690504074	0.06859765201807022	0.06608080863952637	0.08548134565353394	0.0	0.08959413319826126	0.09151654690504074	0.01389946229755878	0.06104233860969543	0.0	0.06355974078178406	0.1068720817565918	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.08710847795009613	0.07114744931459427	0.06859765201807022	0.04131119698286057	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074	0.09151654690504074
xB0109	0.06802720576524734	0.01017507072538137	0.04092587158083916	0.01773769222199917	0.07626323401927948	0.07626323401927948	0.0	0.04708240926265717	0.007654069922864437	0.0279938168823719	0.01522090006619692	0.01773830875754356	0.01017507072538137	0.02804051712155342	0.06802720576524734	0.06478556990623474	0.06802720576524734	0.06802720576524734	0.06802720576524734	0.01017776876688004	0.06802720576524734	0.02037630975246429	0.01017507072538137	0.02268269844353199	0.01270570978522301	0.01270570978522301	0.02316438034176826	0.06802720576524734	0.01522090006619692	0.06802720576524734	0.06229093670845032	0.06802720576524734	0.06802720576524734	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.03777000680565834	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.02933776751160622	0.03053262829780579	0.03053262829780579	0.01773769222199917	0.01522085163742304	0.04293647781014442	0.07626323401927948	0.04377268999814987	0.03053262829780579	0.07017762959003448	0.01522090006619692	0.07626323401927948	0.01773830875754356	0.04588817059993744	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.02612455561757088	0.01016355119645596	0.01773769222199917	0.08184376358985901	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.03053262829780579	0.03053262829780579
xB0110	0.08466781675815582	0.04703736305236816	0.00615654606372118	0.0394168309867382	0.09290385246276855	0.09290385246276855	0.04708240926265717	0.0	0.04451636224985123	0.05979690328240395	0.03186152130365372	0.0293441116809845	0.04703736305236816	0.05984360352158546	0.08466781675815582	0.08155027776956558	0.08466781675815582	0.08466781675815582	0.08466781675815582	0.03690465539693832	0.08466781675815582	0.05217939242720604	0.04703736305236816	0.04387975484132767	0.04450879618525505	0.04450879618525505	0.02391804754734039	0.08466781675815582	0.03186152130365372	0.08466781675815582	0.0789315402507782	0.08466781675815582	0.08466781675815582	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06729872524738312	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06114085391163826	0.06233571469783783	0.06233571469783783	0.0394168309867382	0.03689999133348465	0.06589478999376297	0.09290385246276855	0.006161622237414122	0.06233571469783783	0.08681824803352356	0.03186152130365372	0.09290385246276855	0.0293441116809845	0.07769125699996948	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.05792764574289322	0.04196662828326225	0.0394168309867382	0.09848436713218689	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06233571469783783	0.06233571469783783
xB0115	0.0654611587524414	0.002521010814234614	0.03835982829332352	0.01517164707183838	0.07369718700647354	0.07369718700647354	0.007654069922864437	0.04451636224985123	0.0	0.02542777359485626	0.01265485398471355	0.01517226360738277	0.002521010814234614	0.02547447010874748	0.0654611587524414	0.0622195228934288	0.0654611587524414	0.0654611587524414	0.0654611587524414	0.007611723151057959	0.0654611587524414	0.01781026273965836	0.002521010814234614	0.0201166495680809	0.01013966370373964	0.01013966370373964	0.02059833705425262	0.0654611587524414	0.01265485398471355	0.0654611587524414	0.05972488969564438	0.0654611587524414	0.0654611587524414	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.0352039635181427	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02677172049880028	0.02796658128499985	0.02796658128499985	0.01517164707183838	0.01265480555593967	0.04037043079733849	0.07369718700647354	0.04120664298534393	0.02796658128499985	0.06761158257722855	0.01265485398471355	0.07369718700647354	0.01517226360738277	0.0433221235871315	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02355850860476494	0.007597505114972591	0.01517164707183838	0.07927770912647247	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02796658128499985	0.02796658128499985
xB0118	0.08074169605970383	0.0279487743973732	0.05364036932587624	0.0304521881043911	0.08897773921489716	0.08897773921489716	0.0279938168823719	0.05979690328240395	0.02542777359485626	0.0	0.02793539501726627	0.03045280463993549	0.0279487743973732	0.02039333619177341	0.08074169605970383	0.07750006020069122	0.08074169605970383	0.08074169605970383	0.08074169605970383	0.02289226278662682	0.08074169605970383	0.007617529947310686	0.0279487743973732	0.02084103412926197	0.01528812199831009	0.01528812199831009	0.03587887436151505	0.08074169605970383	0.02793539501726627	0.08074169605970383	0.0750054195523262	0.08074169605970383	0.08074169605970383	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.03317707404494286	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.02108922228217125	0.02288544550538063	0.02288544550538063	0.0304521881043911	0.02793534658849239	0.03868917748332024	0.08897773921489716	0.05648718774318695	0.02288544550538063	0.08289213478565216	0.02793539501726627	0.08897773921489716	0.03045280463993549	0.01789435930550098	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.01847737468779087	0.02287804521620274	0.0304521881043911	0.09455825388431549	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.02288544550538063	0.02288544550538063
