	xB0005	xB0009	xB0010	xB0021	xB0022	xB0028	xB0029	xB0032	xB0034	xB0035	xB0036	xB0037	xB0054	xB0056	xB0066	xB0074	xB0076	xB0078	xB0081	xB0084	xB0090	xB0096	xB0101	xB0105	xB0106	xB0107	xB0117	xB0118	xB0121	xB0124	xB0130	xB0131	xB0133	xB0134	xB0137	xB0141	xB0143	xB0146	xB0147	xB0152	xB0157	xB0160	xB0162	xB0163	xB0165	xB0166	xB0168	x109	x114	x116	x117	x118	x142	x146	x17	x187	x189	x194	x203	x22	x25	x252	x259	x26	x268	x282	x32	x35	x37	x4	x43	x58	x59	x62	x71	x86	x97	xAO190715_001	xDRA190709_004	xDRA190709_008	xDRA190824_005	xFJ190610_027	xFJ190619_002	xFJ190619_003	xFJ190619_004	xFJ190619_010	xFJ190627_004	xFJ190627_005	xFJ190628_013	xFJ190703_003	xFJ190705_002	xFJ190705_003	xFJ190705_005	xFJ190709_002	xFJ190709_003	xFJ190710_003	xFJ190710_004	xFJ190711_010	xFJ190716_005	xFJ190718_004	xFJ190718_005	xFJ190809_002	xFJ190809_003	xFJ190809_007	xFJ190809_014	xFJ190814_004	xFJ190814_008	xFJ190815_002	xFJ190815_003	xFJ190815_004	xFJ190822_001	xFJ190822_002	xFJ190822_003	xFJ190827_001	xFJ190827_009	xFJ190827_012	xFJ190828_002	xFJ190828_003	xFJ190905_002	xJ190705_006	xJL190619_006	xJL190619_010	xJL190627_002	xJL190628_003	xJL190628_004	xJL190628_005	xJL190703_003	xJL190710_002	xJL190716_005	xJL190716_011	xJL190717_004	xJL190724_003	xJL190724_004	xJL190724_005	xJL190731_001	xJL190731_002	xJL190731_003	xJL190806_004	xJL190910_001	xJMS190709_001	xMY190619_002	xMY190619_003	xMY190619_004	xMY190621_001	xPF190709_005	xPF190709_008	xPF190724_002	xPF190724_003	xPF190724_004	xPRM190709_001
xB0005	0.0	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.005918593145906925	0.006739971227943897	0.006966968066990376	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.006739910691976547	0.005918593145906925	0.005918593145906925	0.0009764592978172004	0.005918593145906925	0.005942824762314558	0.01091024000197649	0.0009764592978172004	0.005918593145906925	0.0009764592978172004	0.0009764592978172004	0.01091024000197649	0.003444715403020382	0.003444715403020382	0.003444715403020382	0.003444715403020382	0.006739910691976547	0.0002605858317110687	0.06657424569129944	0.03187688440084457	0.006740027107298374	0.03187688440084457	0.03187688440084457	0.03187688440084457	0.003444715403020382	0.0009764592978172004	0.01091024000197649	0.01091024000197649	0.005918593145906925	0.005918593145906925	0.005918593145906925	0.005918593145906925	0.01091024000197649	0.005918593145906925	0.006739910691976547	0.0009764592978172004	0.006739910691976547	0.006739910691976547	0.0009764592978172004	0.006739910691976547	0.0004022067005280405	0.006739910691976547	0.0009764592978172004	0.005918593145906925	0.0009764592978172004	0.005904687102884054	0.001660607638768852	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.01091024000197649	0.0009764592978172004	0.0007665965822525322	0.0009764592978172004	0.006739910691976547	0.01091024000197649	0.005691819358617067	0.006739910691976547	0.0008267703233286738	0.0009764592978172004	0.006739910691976547	0.007502132095396519	0.006739910691976547	0.00199864711612463	0.0009764592978172004	0.0009764592978172004	0.003444706788286567	0.006625072564929724	0.001491812872700393	0.0009764592978172004	0.0009764592978172004	0.006739910691976547	0.0009764592978172004	0.0009764592978172004	0.005918593145906925	0.006739910691976547	0.003960066940635443	0.00117610557936132	0.000800086185336113	0.006740047596395016	0.006740106269717216	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.005028725136071444	0.0009764592978172004	0.008384546265006065	0.003444715403020382	0.006739910691976547	0.005918593145906925	0.006739910691976547	0.005918593145906925	0.003438652493059635	0.0009764592978172004	0.005918593145906925	0.001370027894154191	0.00072938745142892	0.0009764592978172004	0.001113117090426385	0.005918593145906925	0.006739910691976547	0.003444715403020382	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.005918593145906925	0.003442428074777126	0.001226163120009005	0.006739910691976547	0.0009764592978172004	0.005918593145906925	0.0009764592978172004	0.003454176476225257	0.005643208976835012	0.0009764592978172004	0.006621965207159519	0.005918593145906925	0.01091024000197649	0.0009764592978172004	0.0009764592978172004	0.001477565732784569	0.0009764592978172004	0.005918593145906925	0.0009764592978172004	0.003444715403020382	0.0009764592978172004	0.003444715403020382	0.005918593145906925	0.005918593145906925	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.0009764592978172004	0.006740470416843891
xB0009	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
xB0010	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
xB0021	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
xB0022	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
xB0028	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
xB0029	0.005918593145906925	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.0	0.01070565171539783	0.01093264855444431	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.0	0.0	0.004942142404615879	0.0	7.221331907203421e-05	0.01487592235207558	0.004942142404615879	0.0	0.004942142404615879	0.004942142404615879	0.01487592235207558	0.007410398684442043	0.007410398684442043	0.007410398684442043	0.007410398684442043	0.01070559211075306	0.005658009555190802	0.0705399289727211	0.03584256768226624	0.01070570759475231	0.03584256768226624	0.03584256768226624	0.03584256768226624	0.007410398684442043	0.004942142404615879	0.01487592235207558	0.01487592235207558	0.0	0.0	0.0	0.0	0.01487592235207558	0.0	0.01070559211075306	0.004942142404615879	0.01070559211075306	0.01070559211075306	0.004942142404615879	0.01070559211075306	0.005829362198710442	0.01070559211075306	0.004942142404615879	0.0	0.004942142404615879	0.009870369918644428	0.005626298952847719	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.01487592235207558	0.004942142404615879	0.00515200337395072	0.004942142404615879	0.01070559211075306	0.01487592235207558	0.0006792863132432103	0.01070559211075306	0.005532390438020229	0.004942142404615879	0.01070559211075306	0.0015835469821468	0.01070559211075306	0.005964337382465601	0.004942142404615879	0.004942142404615879	0.007410367950797081	0.01059076376259327	0.007410394959151745	0.004942142404615879	0.004942142404615879	0.01070559211075306	0.004942142404615879	0.004942142404615879	0.0	0.01070559211075306	0.009878644719719887	0.006237921305000782	0.006718674208968878	0.01070572808384895	0.01070578675717115	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.003056991612538695	0.004942142404615879	0.002465972676873207	0.007410398684442043	0.01070559211075306	0.0	0.01070559211075306	0.0	0.007404329720884562	0.004942142404615879	0.0	0.00533571420237422	0.005189212039113045	0.004942142404615879	0.005078800022602081	0.0	0.01070559211075306	0.007410398684442043	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.0	0.007408103439956903	0.005191849078983068	0.01070559211075306	0.004942142404615879	0.0	0.004942142404615879	0.007419855799525976	0.001037484384141862	0.004942142404615879	0.0007033759029582143	0.0	0.01487592235207558	0.004942142404615879	0.004942142404615879	0.005443252623081207	0.004942142404615879	0.0	0.004942142404615879	0.007410398684442043	0.004942142404615879	0.007410398684442043	0.0	0.0	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.004942142404615879	0.01070615090429783
xB0032	0.006739971227943897	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.01070565171539783	0.0	0.0005825617117807269	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.0003555048606358469	0.01070565171539783	0.01070565171539783	0.005763531662523746	0.01070565171539783	0.0107059208676219	0.01076080184429884	0.005763531662523746	0.01070565171539783	0.005763531662523746	0.005763531662523746	0.01076080184429884	0.003295266069471836	0.003295266069471836	0.003295266069471836	0.003295266069471836	0.0003555048606358469	0.006479390896856785	0.06642481684684753	0.03172745183110237	0.0003260837402194738	0.03172745183110237	0.03172745183110237	0.03172745183110237	0.003295266069471836	0.005763531662523746	0.01076080184429884	0.01076080184429884	0.01070565171539783	0.01070565171539783	0.01070565171539783	0.01070565171539783	0.01076080184429884	0.01070565171539783	0.0003555048606358469	0.005763531662523746	0.0003555048606358469	0.0003555048606358469	0.005763531662523746	0.0003555048606358469	0.006650742143392563	0.0003555048606358469	0.005763531662523746	0.01070565171539783	0.005763531662523746	0.005755227990448475	0.005079373717308044	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.01076080184429884	0.005763531662523746	0.005973391234874725	0.005763531662523746	0.0003555048606358469	0.01076080184429884	0.01002637017518282	0.0003555048606358469	0.0063537722453475	0.005763531662523746	0.0003555048606358469	0.01228919066488743	0.0003555048606358469	0.006785719655454159	0.005763531662523746	0.005763531662523746	0.008231768384575844	0.008605117909610271	0.00823175348341465	0.005763531662523746	0.005763531662523746	0.0003555048606358469	0.005763531662523746	0.005763531662523746	0.01070565171539783	0.0003555048606358469	0.01070000417530537	0.007059300318360329	0.007540050894021988	0.0004482498043216765	0.0007926028338260949	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.008086456917226315	0.005763531662523746	0.01317160576581955	0.003295266069471836	0.0003555048606358469	0.01070565171539783	0.0003555048606358469	0.01070565171539783	0.008225720375776291	0.005763531662523746	0.01070565171539783	0.006157100200653076	0.006010598503053188	0.005763531662523746	0.005900190211832523	0.01070565171539783	0.0003555048606358469	0.003295266069471836	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.01070565171539783	0.008229483850300312	0.005513823591172695	0.0003555048606358469	0.005763531662523746	0.01070565171539783	0.005763531662523746	0.00824122503399849	0.01043027173727751	0.005763531662523746	0.01140902377665043	0.01070565171539783	0.01076080184429884	0.005763531662523746	0.005763531662523746	0.006264638155698776	0.005763531662523746	0.01070565171539783	0.005763531662523746	0.003295266069471836	0.005763531662523746	0.003295266069471836	0.01070565171539783	0.01070565171539783	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.005763531662523746	0.002938840072602034
xB0034	0.006966968066990376	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.01093264855444431	0.0005825617117807269	0.0	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.0002270578115712851	0.01093264855444431	0.01093264855444431	0.005990528035908937	0.01093264855444431	0.0109329167753458	0.01098779868334532	0.005990528035908937	0.01093264855444431	0.005990528035908937	0.005990528035908937	0.01098779868334532	0.003522262675687671	0.003522262675687671	0.003522262675687671	0.003522262675687671	0.0002270578115712851	0.006706386804580688	0.06665181368589401	0.03195444867014885	0.0009086455102078617	0.03195444867014885	0.03195444867014885	0.03195444867014885	0.003522262675687671	0.005990528035908937	0.01098779868334532	0.01098779868334532	0.01093264855444431	0.01093264855444431	0.01093264855444431	0.01093264855444431	0.01098779868334532	0.01093264855444431	0.0002270578115712851	0.005990528035908937	0.0002270578115712851	0.0002270578115712851	0.005990528035908937	0.0002270578115712851	0.006877738051116467	0.0002270578115712851	0.005990528035908937	0.01093264855444431	0.005990528035908937	0.005982224829494953	0.005306370090693235	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.01098779868334532	0.005990528035908937	0.006200387608259916	0.005990528035908937	0.0002270578115712851	0.01098779868334532	0.0102533670142293	0.0002270578115712851	0.006580769084393978	0.005990528035908937	0.0002270578115712851	0.01251618750393391	0.0002270578115712851	0.007012716494500637	0.005990528035908937	0.005990528035908937	0.008458765223622322	0.00883211474865675	0.008458750322461128	0.005990528035908937	0.005990528035908937	0.0002270578115712851	0.005990528035908937	0.005990528035908937	0.01093264855444431	0.0002270578115712851	0.01092700101435184	0.007286297157406807	0.007767046801745892	0.001030811457894742	0.001375164603814483	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.008313453756272793	0.005990528035908937	0.01339860260486603	0.003522262675687671	0.0002270578115712851	0.01093264855444431	0.0002270578115712851	0.01093264855444431	0.00845271721482277	0.005990528035908937	0.01093264855444431	0.006384097039699554	0.006237595342099667	0.005990528035908937	0.006127186585217714	0.01093264855444431	0.0002270578115712851	0.003522262675687671	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.01093264855444431	0.008456479758024216	0.005740820430219173	0.0002270578115712851	0.005990528035908937	0.01093264855444431	0.005990528035908937	0.008468221873044968	0.01065726764500141	0.005990528035908937	0.01163602061569691	0.01093264855444431	0.01098779868334532	0.005990528035908937	0.005990528035908937	0.006491634994745255	0.005990528035908937	0.01093264855444431	0.005990528035908937	0.003522262675687671	0.005990528035908937	0.003522262675687671	0.01093264855444431	0.01093264855444431	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.005990528035908937	0.003521401900798082
xB0035	0.006739910691976547	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.0003555048606358469	0.0002270578115712851	0.0	0.0	0.0	0.0	0.0	0.0	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.01070559211075306	0.01070586033165455	0.01076074130833149	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.00329520576633513	0.0	0.006479330360889435	0.06642475724220276	0.0317273922264576	0.0006815886590629816	0.0317273922264576	0.0317273922264576	0.0317273922264576	0.00329520576633513	0.005763471126556396	0.01076074130833149	0.01076074130833149	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01070559211075306	0.01076074130833149	0.01070559211075306	0.0	0.005763471126556396	0.0	0.0	0.005763471126556396	0.0	0.006650681607425213	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.005755167920142412	0.005079313181340694	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01076074130833149	0.005763471126556396	0.005973330698907375	0.005763471126556396	0.0	0.01076074130833149	0.01002630963921547	0.0	0.006353712175041437	0.005763471126556396	0.0	0.0122891291975975	0.0	0.006785659119486809	0.005763471126556396	0.005763471126556396	0.008231707848608494	0.008605057373642921	0.008231693878769875	0.005763471126556396	0.005763471126556396	0.0	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.0	0.01069994363933802	0.007059239782392979	0.007539990358054638	0.0008037546649575233	0.001148107694461942	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.008086396381258965	0.005763471126556396	0.0131715452298522	0.00329520576633513	0.0	0.01070559211075306	0.0	0.01070559211075306	0.008225659839808941	0.005763471126556396	0.01070559211075306	0.006157040130347013	0.006010537967085838	0.005763471126556396	0.005900129675865173	0.01070559211075306	0.0	0.00329520576633513	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.01070559211075306	0.008229423314332962	0.005513763520866632	0.0	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00824116449803114	0.01043021120131016	0.005763471126556396	0.01140896417200565	0.01070559211075306	0.01076074130833149	0.005763471126556396	0.005763471126556396	0.006264577619731426	0.005763471126556396	0.01070559211075306	0.005763471126556396	0.00329520576633513	0.005763471126556396	0.00329520576633513	0.01070559211075306	0.01070559211075306	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.005763471126556396	0.003294344991445541
